index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta
0,0,"(3, 2, 1)",1,0,0.1805852226232625,5.550360677894551,5.7305718994053786e-08,0.7432877726529342,-0.6689718133259727,0.9999999999999983,5.730571899405375e-08,0.9837387521613962,0.17960531032221527
1,0,"(3, 2, 1)",1,1,-0.6639624953737735,0.004540651549094469,3.1358271819613908,0.9999896912594666,0.0045406359462841885,-0.9999833797144903,0.005765439687105562,0.7875565631936237,-0.6162423709634448
2,0,"(3, 2, 1)",3,0,2.2379066875893363,5.307669527274966,3.874417223021307,0.5607410669238754,-0.8279912172632472,-0.7432878126932521,-0.6689717688375804,-0.618718435753471,0.7856128163788941
3,0,"(3, 2, 1)",3,1,1.3931024662853835,3.1372757013493,3.1462314165303704,-0.9999906819761476,0.004316938831997143,-0.9999892409584834,-0.004638746304350892,0.17676021858007818,0.9842539434147688
4,0,"(3, 2, 1)",5,0,3.9431226491627016,6.28318530138277,0.9755157743293631,1.0,-5.796816605188887e-09,0.5607410715401397,0.8279912141369713,-0.6956083426766078,-0.7184212090401445
5,0,"(3, 2, 1)",5,1,0.4508814709318163,6.292221755800729,3.13345922873896,0.9999591715759885,0.009036325639489334,-0.9999669238824378,0.00813333517659666,0.9000633431080406,0.4357590829726645
6,1,"(4, 2, 1)",1,0,3.4681666460970533,3.708407378207004,2.2189560662940932e-10,-0.8436155779849449,-0.5369476292722852,1.0,2.2189560662940932e-10,-0.947146963106351,-0.32079998484790545
7,1,"(4, 2, 1)",1,1,0.8236824398199507,5.71366451281679,7.038867255064108,0.8421594732058966,-0.5392285430961224,0.7278040427186357,0.6857851525094505,0.6795241872766293,0.7336531052929827
8,1,"(4, 2, 1)",3,0,5.360436021023074,1.7144984951242082,2.5747779292846222,-0.14320809627893963,0.9896925993257513,-0.843615578152494,0.5369476290090435,0.6036305333120088,-0.7972641841030236
9,1,"(4, 2, 1)",3,1,-1.2911217434635118,-0.5231609173874104,0.058756145070361275,0.8662442498657745,-0.49962075574827913,0.9982743542456279,0.05872234374984207,0.27604289047806396,-0.9611453181577256
10,1,"(4, 2, 1)",5,0,2.275720641238955,3.1415926535574776,4.568686811965213,-1.0,3.231560608704927e-11,-0.1432080963681757,-0.9896925993128388,-0.6479761846858884,0.7616605963813012
11,1,"(4, 2, 1)",5,1,3.770999717588082,0.15367632089580124,3.2661599510915846,0.9882150148656987,0.15307215420835643,-0.9922515214109414,-0.12424539531778254,-0.8083766913885216,-0.5886655458065698
