index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,1.570796322242418,3.1208196157130446,7.853981633674208,-0.9997842482072713,0.02077154391520545,3.0027477811549845e-10,1.0,4.5524786775365965e-09,1.0,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,7.6941442895036625,1.5707963308162987,4.577394522877966e-09,-4.021402038974843e-09,1.0,1.0,4.577394522877966e-09,0.1591576265312296,0.9872531843032696,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,4.534678379536833,4.429865927425083,1.7721545796930769,-0.2787795601480598,-0.9603551201736024,-0.20000032539789728,0.9797958306916473,-0.17677669529933915,-0.984250984250991,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,2.3434576382431707,3.7767112175884776,1.5243588621870436,-0.8050013613169796,-0.5932729627058775,0.046420776487492946,0.9989219746858602,-0.6980433550410956,0.7160554967898584,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,1.5707963310036461,1.5707963314621143,1.0840530480200872,-4.667217662176272e-09,1.0,0.4677498853206204,0.8838608741100301,-4.208749509845079e-09,1.0,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,1.1622542339481452,9.424777966218949,4.712388978628488,-1.0,-5.449569317007427e-09,-1.7562015902190153e-09,-1.0,0.39727182782945686,0.9177009833344641,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,2.815018661142417,4.283238031711641,3.1415926626377346,-0.4160988936874183,-0.9093193667090274,-1.0,-9.047941384669603e-09,-0.9471469631255618,0.32079998479118665,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,7.012650654163397,2.7572664637790076,0.4970536655256925,-0.9270512778344455,0.37493456531176445,0.8789912987442334,0.47683780967109335,0.7455308396841611,0.6664711299672549,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,0.9227492861987445,6.573659216318426,5.141539937759988,0.9581082525390884,0.2864063135066937,0.416098901600542,-0.9093193630880311,0.6036305332783387,0.7972641841285161,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,4.323885100153416,3.302908199971848,-0.4459410889705266,-0.9870168386673862,-0.1606168116575564,0.9022051665946615,-0.4313071265002458,-0.378804215408748,-0.9254768319026484,0.7853981633974483,0.2575328339591237,0.1571025538924139
10,1,"(4, 2, 1)",5,0,2.2757206412459667,-3.141592655036529,5.9927113971206545,-1.0,1.4467359418164601e-09,0.9581082522755682,-0.2864063143882415,-0.647976184691229,0.7616605963767578,0.7853981633974483,0.2575328339591237,0.1571025538924139
11,1,"(4, 2, 1)",5,1,7.073713307915326,0.7780557176552175,2.535434987322508,0.7122795671996968,0.7018958741507266,-0.8218431099546865,0.5697138778544975,0.7034701505085146,0.7107248042270143,0.7853981633974483,0.2575328339591237,0.1571025538924139
12,2,"(3, 2, 1, 1)",1,0,3.4273095067705937,3.121987904387562,6.283185304892349,-0.999807833059363,0.019603493391250285,1.0,-2.2872373113411223e-09,-0.9594598574866697,-0.2818453155041952,0.7853981633974482,0.2575328339591234,-0.13568254977480887
13,2,"(3, 2, 1, 1)",1,1,4.340874178696366,5.458159858559397,5.035943073885506,0.6785382721765929,-0.7345650503472132,0.3179382382094637,-0.9481114263019207,-0.3630273075763709,-0.9317785004784405,0.7853981633974482,0.2575328339591234,-0.13568254977480887
14,2,"(3, 2, 1, 1)",3,0,4.03484191008618,1.3162536989793479,3.161197400563663,0.2518027999909246,0.9677785645057089,-0.9998078331030468,-0.019603491163317204,-0.6268838030341234,-0.7791127630153895,0.7853981633974482,0.2575328339591234,-0.13568254977480887
15,2,"(3, 2, 1, 1)",3,1,4.1761614585728655,2.1157550448232194,0.6528206628772087,-0.5183827887221842,0.8551486913727994,0.7943736071095556,0.607429479304185,-0.510896653553272,-0.8596421403049457,0.7853981633974482,0.2575328339591234,-0.13568254977480887
16,2,"(3, 2, 1, 1)",5,0,5.487721371899242,3.14159265424765,1.8253389541199416,-1.0,-6.578567576172286e-10,-0.2518027995162256,0.9677785646292191,0.6999535041780116,-0.7141884149080845,0.7853981633974482,0.2575328339591234,-0.13568254977480887
17,2,"(3, 2, 1, 1)",5,1,2.3290310218969017,4.423731480686797,1.1631458050619348,-0.2846655251120762,-0.9586269028212518,0.3964534743545277,0.918054814633758,-0.6876408157719806,0.726051037107203,0.7853981633974482,0.2575328339591234,-0.13568254977480887
18,3,"(5, 2, 1)",1,0,-0.39828102619043665,7.050510817227119,3.141592653588564,0.7197699065238302,0.6942127063535186,-1.0,1.229361397544888e-12,0.9217290327967564,-0.3878344880223468,0.7853981633974483,0.25416266436331997,0.18848727113473546
19,3,"(5, 2, 1)",1,1,-0.660724671032674,0.12984390669697257,2.9776922345759416,0.9915821166564507,0.12947936486990164,-0.9865983677215641,0.16316758504416665,0.7895477160825308,-0.6136891754209612,0.7853981633974483,0.25416266436331997,0.18848727113473546
20,3,"(5, 2, 1)",3,0,0.9270116166789786,6.735833820458392,2.3742671435433875,0.8992919335601359,0.43734885187190337,-0.7197699065246124,0.6942127063527077,0.6002268569261527,0.7998298070368169,0.7853981633974483,0.25416266436331997,0.18848727113473546
21,3,"(5, 2, 1)",3,1,1.8951643060610215,-3.0558386554048513,-0.02970209752049598,-0.996325378579258,-0.08564893460457236,0.9995589251297626,-0.029697730442469168,-0.3187097872153307,0.9478523469049167,0.7853981633974483,0.25416266436331997,0.18848727113473546
22,3,"(5, 2, 1)",5,0,-0.9090620152400221,3.1415926535903522,5.830536793900423,-1.0,-5.589858505213141e-13,0.8992919335599795,-0.43734885187222494,0.6144860218645319,-0.7889277083060919,0.7853981633974483,0.25416266436331997,0.18848727113473546
23,3,"(5, 2, 1)",5,1,11.861205799308339,-3.2341733030199222,6.3537705682620444,-0.9957174718456709,0.09244845191383941,0.9975098945832397,0.07052666310363812,0.7615047356897795,-0.6481593457800628,0.7853981633974483,0.25416266436331997,0.18848727113473546
24,4,"(4, 3, 1)",1,0,0.23363186222247836,1.1363919612353353,6.2831853069668275,0.42087016361432206,0.9071208879632603,1.0,-2.1275894447642634e-10,0.9728319923414671,0.2315122344001103,0.7853981633974483,0.20470663066097866,0.1165867646147235
25,4,"(4, 3, 1)",1,1,1.2833360218585974,4.1989067096783526,4.870933863694183,-0.4912134135070719,-0.8710392542191944,0.15788150755649108,-0.9874580647155046,0.28351765827784065,0.9589670158272648,0.7853981633974483,0.20470663066097866,0.1165867646147235
26,4,"(4, 3, 1)",3,0,2.1349179346511824,5.2535127159071555,2.0052006926039607,0.5150995045427545,-0.8571303870589403,-0.4208701638406512,0.9071208878582521,-0.5346737295591876,0.8450585795785217,0.7853981633974483,0.20470663066097866,0.1165867646147235
27,4,"(4, 3, 1)",3,1,4.518710736142674,4.379362911883492,3.1406576206756953,-0.32690432931773666,-0.9450574371292576,-0.9999995628567566,0.0009350327778501447,-0.1924696606751504,-0.981302924544502,0.7853981633974483,0.20470663066097866,0.1165867646147235
28,4,"(4, 3, 1)",5,0,4.045869307278719,1.0406026687977414e-10,4.171265244950644,1.0,1.0406026687977414e-10,-0.5150995044669675,-0.8571303871044852,-0.618254276022795,-0.7859781486654255,0.7853981633974483,0.20470663066097866,0.1165867646147235
29,4,"(4, 3, 1)",5,1,2.71681741801059,2.682691914030088,-0.4229970986514937,-0.8965399706357735,0.44296284387339574,0.9118627428844766,-0.4104952352210669,-0.9111313849825412,0.4121160022369871,0.7853981633974483,0.20470663066097866,0.1165867646147235
30,5,"(4, 2, 1, 1)",1,0,3.5829629507400806,2.718946962975851,6.283185452957686,-0.9120069379046666,0.41017477398513136,0.9999999999999893,1.457780995688238e-07,-0.9041671503350214,-0.42717884340759066,0.7853981633974482,0.26115741090302436,-0.20185734333026417
31,5,"(4, 2, 1, 1)",1,1,-0.6927220518271415,0.15139625361620915,2.945869999090827,0.988561460654576,0.1508185615515918,-0.9809073871375071,0.1944754428175152,0.7695104726395198,-0.6386341930229722,0.7853981633974482,0.26115741090302436,-0.20185734333026417
32,5,"(4, 2, 1, 1)",3,0,5.372020711037933,4.331592265664328,6.705831138634674,-0.3716602323984681,-0.9283688230727681,0.9120068801351725,0.41017490243322907,0.6128258804808118,-0.7902179700645372,0.7853981633974482,0.26115741090302436,-0.20185734333026417
33,5,"(4, 2, 1, 1)",3,1,1.1689835614927087,6.414017656719492,-0.041617627983231605,0.9914536493284073,0.13045942370478064,0.9991341115098661,-0.04160561521466166,0.39108736896817897,0.9203535569733772,0.7853981633974482,0.26115741090302436,-0.20185734333026417
34,5,"(4, 2, 1, 1)",5,0,2.264439487997263,3.141592579822184,5.093185642814692,-0.9999999999999972,7.376760903266702e-08,0.3716601838537285,-0.9283688425070139,-0.6393427253112538,0.7689218943375059,0.7853981633974482,0.26115741090302436,-0.20185734333026417
35,5,"(4, 2, 1, 1)",5,1,3.604462099631644,-0.02369028001203519,6.26198710582532,0.9997193984403303,-0.023688064127407687,0.9997753265432031,-0.02119661377276143,-0.894774925214924,-0.44651745005836807,0.7853981633974482,0.26115741090302436,-0.20185734333026417
36,6,"(3, 2, 2, 1)",1,0,1.5707963286924438,2.330737889611512,4.7123889808968835,-0.6888790865593917,0.7248762681320849,5.121936591972287e-10,-1.0,-1.897547169223758e-09,1.0,0.7853981633974483,0.20470663066097877,-0.031037668390437645
37,6,"(3, 2, 2, 1)",1,1,-1.5135546478092558e-09,5.377643944825543,2.4763376915424677,0.617259748467491,-0.786759431415887,-0.7867594328933153,0.6172597465843604,1.0,-1.5135546478092558e-09,0.7853981633974483,0.20470663066097877,-0.031037668390437645
38,6,"(3, 2, 2, 1)",3,0,1.3376227975829085,4.849541993930884,2.317846831758816,0.1367234214037631,-0.9906092600211494,-0.6794776855025318,0.73369617342884,0.23106632908318167,0.9729379998561176,0.7853981633974483,0.20470663066097877,-0.031037668390437645
39,6,"(3, 2, 2, 1)",3,1,4.140874509899804,0.8818853030929719,1.6422299461373586,0.6356969363327081,0.7719387314659168,-0.07137288338120264,0.9974497037534541,-0.5409064635691007,-0.8410827531635452,0.7853981633974483,0.20470663066097877,-0.031037668390437645
40,6,"(3, 2, 2, 1)",5,0,1.5707963286842619,7.853981635516614,3.685721296091628,-1.5421305612873322e-09,1.0,-0.855578693580097,-0.517672772214045,-1.8893652696214804e-09,1.0,0.7853981633974483,0.20470663066097877,-0.031037668390437645
41,6,"(3, 2, 2, 1)",5,1,1.2614444262076487,3.141592655990029,1.5707963266774811,-1.0,-2.400235887482641e-09,1.1741547195985712e-10,1.0,0.30444136559194246,0.9525310781893225,0.7853981633974483,0.20470663066097877,-0.031037668390437645
42,7,"(3, 2, 1, 1, 1)",1,0,-0.3454636255010495,0.09313145260252155,3.14159266110669,0.9956663999052108,0.09299688220471071,-1.0,-7.516896760255268e-09,0.9409185548667618,-0.33863294746294936,0.7853981633974482,0.2541626643633199,-0.16015194651459197
43,7,"(3, 2, 1, 1, 1)",1,1,10.578612962328984,8.613890347836128,-1.203420515241886,-0.6888552747598357,0.7248988966990855,0.35916758701662904,-0.9332730813843567,-0.4049839944729155,-0.914323774283903,0.7853981633974482,0.2541626643633199,-0.16015194651459197
44,7,"(3, 2, 1, 1, 1)",3,0,2.258408552624383,5.104032708276042,3.0484611921932756,0.38170819965293196,-0.9242828843583102,-0.9956663990873965,0.09299689096059713,-0.6346938080616523,0.7727637219798807,0.7853981633974482,0.2541626643633199,-0.16015194651459197
45,7,"(3, 2, 1, 1, 1)",3,1,8.835967130509161,0.5096743845003923,8.01133870684964,0.8729034194545175,0.48789304186943544,-0.156708483462569,0.9876449013744069,-0.8316016991102849,0.5553725002526567,0.7853981633974482,0.2541626643633199,-0.16015194651459197
46,7,"(3, 2, 1, 1, 1)",5,0,2.3481442923261002,3.141592645486904,4.320745244807371,-1.0,8.10288914888255e-09,-0.3817082067569388,-0.9242828814245139,-0.701391581021835,0.712776157058926,0.7853981633974482,0.2541626643633199,-0.16015194651459197
47,7,"(3, 2, 1, 1, 1)",5,1,4.620589939287264,1.5517854522331007,7.649472868944976,0.019009729451840283,0.999819298766616,0.20308618636870207,0.9791608656937923,-0.09167016268115463,-0.9957894261710207,0.7853981633974482,0.2541626643633199,-0.16015194651459197
48,8,"(6, 2, 1)",1,0,-0.4416562395386949,4.535773414390006,3.141592622608227,-0.17569880039613617,-0.9844439707466133,-0.9999999999999996,3.098156632386925e-08,0.9040449648341934,-0.42743736565483154,0.7853981633974483,0.24924021856871653,0.20640710127763312
49,8,"(6, 2, 1)",1,1,5.63522633454459,6.424418147404045,2.965125283306594,0.9900432093793518,0.14076378640059797,-0.9844699977450858,0.17555290809266236,0.7973173415470274,-0.6035603175063623,0.7853981633974483,0.24924021856871653,0.20640710127763312
50,8,"(6, 2, 1)",3,0,4.0690296017536305,1.7002636879345079,4.889004575015665,-0.12910597985872246,0.9916308012384041,0.17569882858696032,-0.9844439657152508,-0.5998866098443679,-0.8000850300620748,0.7853981633974483,0.24924021856871653,0.20640710127763312
51,8,"(6, 2, 1)",3,1,5.049503029850009,2.9929515420079533,0.14449048213850593,-0.9889732346998075,0.14809436534655693,0.9895793989009525,0.14398824004351754,0.33076496382871534,-0.9437131654816461,0.7853981633974483,0.24924021856871653,0.20640710127763312
