index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,3.3221778676872487,2.523791801198069,6.283185312807597,-0.8151542696570758,0.5792439181034527,1.0,5.628010701238801e-09,-0.9837387536926763,-0.17960530193504845,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,-8.757847685651384,-0.08702598972210035,6.172598912284841,0.9962156278802256,-0.08691618242426447,0.9938915536348649,-0.11036113271108809,-0.7857242259672772,-0.618576948105992,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,2.2379066845352797,4.493633904094116,0.6178008579470687,-0.2170145364121128,-0.976168372252367,0.8151542664391763,0.5792439226319154,-0.6187184333541649,0.7856128182684953,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,11.169241412079614,3.063486100013144,0.06206624116401873,-0.9969512335676939,0.07802716121872892,0.9980745090905679,0.06202640005370204,0.17279546546292326,-0.9849577285931878,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,-0.8015299936893029,-3.141592654057552,1.7895514028035082,-1.0,4.677585981811812e-10,-0.21701453613687016,0.9761683723135569,0.6956083440298299,-0.7184212077298928,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,8.971421976801471,3.254058683576215,6.384371963800546,-0.993682359376346,-0.1122290900981485,0.9948849967615386,0.10101407435992857,-0.8989822970378937,0.43798496505299384,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,2.815018661526612,6.062969367969236,3.141592672614235,0.9758503022455652,-0.21844035251582727,-0.9999999999999998,-1.9024441899266465e-08,-0.9471469632488115,0.3207999844272976,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,2.475298937415008,3.168501094427617,3.1758170701973385,-0.999637989749851,-0.026905193715653038,-0.9994144018170688,-0.034217735761307225,-0.786117827438479,0.6180766630308944,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,5.3604360208513695,4.623413916424786,6.503401264641744,-0.08885771431800756,-0.9960443296390876,0.9758502982586338,0.21844037032685917,0.603630533175115,-0.7972641842066696,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,1.3017634629159445,3.1832917436466066,3.0617581716827726,-0.9991307189150201,-0.04168700661303263,-0.9968149199759969,0.07974970415773917,0.26579921444392907,0.9640284112001006,0.7853981633974483,0.2575328339591237,0.1571025538924139
10,1,"(4, 2, 1)",5,0,2.275720641296169,3.141592648696697,4.801364041077726,-1.0,4.893096272946959e-09,0.08885771106406218,-0.996044329929374,-0.6479761847294658,0.7616605963442281,0.7853981633974483,0.2575328339591237,0.1571025538924139
11,1,"(4, 2, 1)",5,1,5.655886881580957,3.0199174423335307,0.09867771645833956,-0.9926066996351319,0.12137520273701302,0.9951353034739853,0.09851765212254773,0.8096161760785322,-0.5869596642291318,0.7853981633974483,0.2575328339591237,0.1571025538924139
12,2,"(3, 2, 1, 1)",1,0,4.712388968702482,2.1690253187800392,7.853981632314483,-0.5631799126784813,0.8263343064132447,1.6600004435107156e-09,1.0,-1.1682208273477508e-08,-0.9999999999999999,0.7853981633974482,0.2575328339591234,-0.13568254977480887
13,2,"(3, 2, 1, 1)",1,1,2.1595016162415765,4.712388983344057,6.283185309448877,2.959366790001232e-09,-1.0,1.0,2.269290288333942e-09,-0.5552847292398461,0.831660308944121,0.7853981633974482,0.2575328339591234,-0.13568254977480887
14,2,"(3, 2, 1, 1)",3,0,4.3981838704543,2.0349701430637412,2.2576468081104686,-0.44768418765147405,0.89419174013566,-0.6341049754507847,0.773246972259549,-0.30906059482857445,-0.9510423485440634,0.7853981633974482,0.2575328339591234,-0.13568254977480887
