index,left,right,weyl_a,weyl_b,weyl_c,nearest_index,nearest_distance,match
0,3179,3320,0.530527439807015,0.1851154007214046,0.0,4409,1.0576194100081788,False
1,3454,3475,0.4860747298846668,0.43649252326157967,0.0,4443,1.012115451455155,False
2,1264,884,0.645333112390154,0.26641426362413045,0.0,4725,1.000386927396167,False
3,3837,1767,0.4477351573631161,0.41931820301474265,0.0,4418,1.0021419521725528,False
4,594,2502,0.7673870317992275,0.367076369544045,0.0,4467,1.0152378419991028,False
5,2479,2027,0.4986773486033531,0.43259816204845425,0.0,4467,1.2041789981882665,False
6,4056,4226,0.5833565772642562,0.568610062878067,0.0,4440,1.0182399375382096,False
7,2324,2836,0.5502371819064029,0.4373878391785183,0.0,4384,1.0121752189923776,False
8,812,1451,0.6809567171415791,0.18626100591400924,0.0,4467,1.0875863233458836,False
9,4623,4669,0.6311305650751011,0.5975217424994976,0.0,4440,1.0611560857124527,False
10,2407,552,0.4415894494135273,0.38784034431816555,0.0,4542,1.000276308273336,False
11,1282,3050,0.7248238654776618,0.5269757356233358,0.0,4438,1.0747317363965494,False
12,3612,3866,0.7407481165492067,0.5731818187281701,0.0,4412,1.0012551223463115,False
13,481,1289,0.6978307591059414,0.5892961531379377,0.0,4406,1.0503551667753945,False
14,3263,502,0.7176506758687777,0.42240791768076236,0.0,4467,1.0810470430309305,False
15,1335,3573,0.7307633294541072,0.34479606931838147,0.0,4409,1.0090886939433041,False
16,3315,887,0.7266531550154838,0.48730428867575837,0.0,4438,1.0052261762841868,False
17,3364,4910,0.5317399764969952,0.39947563653729334,0.0,4516,1.0008931937954462,False
18,1095,357,0.7578179232930085,0.49287823923041274,0.0,4407,1.0433895861300555,False
19,752,560,0.6466984582693307,0.2579804207920683,0.0,4819,1.0008941426007372,False
20,1862,771,0.7136794146711098,0.5756475436803925,0.0,4406,1.0134375253970205,False
21,1270,3699,0.7441930328218174,0.5734517608453887,0.0,4509,1.0032656691486856,False
22,3477,1122,0.7525822811042726,0.4357204383984612,0.0,1751,1.000077761761389,False
23,1969,3341,0.6171819503336602,0.4555815790455835,0.0,4410,1.006256815812898,False
24,939,1479,0.764568866581576,0.14121224348903078,0.0,4506,1.0254550293165832,False
25,3409,4845,0.722929346619404,0.39032610302296245,0.0,4467,1.0352432456952234,False
26,2482,4326,0.37681919707710243,0.33987198352318754,0.0,4396,1.0036613659897526,False
27,3129,2564,0.686159168587614,0.3117401417365018,0.0,4548,1.0024575445782977,False
28,856,1304,0.6470025849115562,0.4459127373090873,0.0,4467,1.07904303508261,False
29,3829,4434,0.68782346213544,0.39779460328028815,0.0,4436,1.1471373869816048,False
30,2535,3322,0.6420683567271563,0.571543987593181,0.0,4384,1.0782734172324826,False
31,2288,2852,0.5651539720373684,0.4980613860005968,0.0,4471,1.025545244530919,False
32,4035,159,0.5156767502845367,0.3651536344628394,0.0,4418,1.001060322955314,False
33,4649,205,0.782829458215403,0.41490665704217033,0.0,4367,1.026158743531164,False
34,399,1470,0.6921688726372297,0.5667306723666231,0.0,4370,1.0033158673347802,False
35,3418,1318,0.7647733840800042,0.6844620933537433,0.0,4406,1.0852356762072,False
36,3823,4881,0.7435511121099658,0.3730774858958774,0.0,4467,1.0799790609981295,False
37,1411,3925,0.6821110481834243,0.6306730169691184,0.0,4441,1.0125575344295292,False
38,3286,4776,0.5671524711301554,0.4482808838226535,0.0,4436,1.0228709477193034,False
39,2420,4363,0.6977327482296554,0.6069778562063362,0.0,4473,1.006023040229025,False
40,3842,3202,0.7808948097564095,0.6072621297435923,0.0,4407,1.052548863463194,False
41,3474,688,0.7515667404000785,0.5293206858078845,0.0,4436,1.0226368745649008,False
42,2604,440,0.6411720348097028,0.4597102330812918,0.0,4407,1.0168906934103525,False
43,2706,3608,0.34356039512457226,0.19504649500676124,0.0,4336,1.000046010959085,False
44,427,858,0.7585222463207124,0.4714778706572229,0.0,4408,1.0095380871031034,False
45,2234,1953,0.5123006780696615,0.3458888390388175,0.0,4413,1.0020249693662735,False
46,485,1839,0.7514451992516316,0.5495026962631477,0.0,4408,1.020407239977219,False
47,849,3246,0.6806767062795629,0.5826257046425766,0.0,4385,1.0172973419461577,False
48,4661,547,0.483645145147344,0.4434441491275037,0.0,4385,1.0217107270897627,False
49,3427,4772,0.6478684512358148,0.14770863857667382,0.0,4436,1.0406801159254373,False
50,657,4291,0.4535783954339587,0.3187004742459524,0.0,4412,1.0008359480189541,False
51,1364,443,0.5081224255670813,0.35206267106519445,0.0,4467,1.1500425818037205,False
52,3755,1088,0.607303328557439,0.5894324493229243,0.0,4384,1.0546299590084045,False
53,3630,1193,0.6657177520539141,0.1660001904334825,0.0,4407,1.0070152577707896,False
54,1360,3216,0.6320108135240865,0.2549841042525229,0.0,4467,1.1298508990716791,False
55,3630,1565,0.627769511888963,0.31215298048142104,0.0,4410,1.0026967610377175,False
56,3259,4531,0.6988114825783072,0.4832671244889604,0.0,4384,1.0082324483784666,False
57,506,4501,0.5124718300449906,0.35985890544115834,0.0,4467,1.1398330416125528,False
58,3863,2457,0.3319536615264811,0.27983806475147704,0.0,4414,1.0004209337160728,False
59,173,2226,0.7765405865988191,0.6184865360467505,0.0,4384,1.0631805044787679,False
60,95,1750,0.5827448264837445,0.24386327118562245,0.0,4467,1.106577860263333,False
61,4705,1072,0.7556925954478277,0.5997183672176796,0.0,4436,1.0338414139925531,False
62,4718,58,0.6343467471510644,0.43688220816641443,0.0,4407,1.0661402163213318,False
63,745,1977,0.4290646879531943,0.2719717081635376,0.0,4376,1.0001583321269067,False
64,2028,1563,0.6551953217840767,0.3564081560753607,0.0,4385,1.026813338516951,False
65,2559,307,0.592177227473953,0.3867418952770555,0.0,4385,1.008745995810833,False
66,2674,1539,0.5289931940104662,0.40851289065199975,0.0,4440,1.0098392436047599,False
