index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta
0,0,"(3, 2, 1)",1,0,6.102600093396815,3.05744475952533,3.1415926788587476,-0.9964616545814253,0.0840486225279646,-0.9999999999999997,-2.5268954361938457e-08,0.9837387537491953,-0.17960530162548125
1,0,"(3, 2, 1)",1,1,8.748260998858303,3.319165136785171,3.3678052065907633,-0.9842753908450562,-0.17664075117823702,-0.9745228622339153,-0.22428818734703213,-0.7797581077973235,0.6260808999836505
2,0,"(3, 2, 1)",3,0,5.37949933836629,6.431503705067923,-3.0574447843838857,0.9890209752807289,0.14777520243517178,-0.9964616566707524,-0.08404859775736707,0.6187184335436678,-0.7856128181192501
3,0,"(3, 2, 1)",3,1,1.3482197275719536,3.1002545625760094,-0.4783424800322221,-0.999145702780676,0.041326318671145244,0.8877591121805462,-0.460308330079316,0.22074339251030925,0.9753319202523003
4,0,"(3, 2, 1)",5,0,5.481655312998752,3.14159264913356,6.134866912570469,-1.0,4.456233282719577e-09,0.9890209757653161,-0.14777519919195534,0.6956083436767033,-0.7184212080718062
5,0,"(3, 2, 1)",5,1,-0.6570379376991937,4.0339033602097425,2.3651774825701266,-0.62761476301084,-0.7785240582350986,-0.7134301010860223,0.7007264022886449,0.7918048535353623,-0.610774159504021
6,1,"(4, 2, 1)",1,0,3.468166646039515,-1.4186637372683877,2.78352772436371e-08,0.15154643390263292,-0.9884501395474609,0.9999999999999997,2.7835277243637096e-08,-0.9471469631248094,-0.32079998479340815
7,1,"(4, 2, 1)",1,1,1.0257293598780302,0.7633027110118504,5.208998944085746,0.7225567532185317,0.69131160729319,0.47644775270295664,-0.8792027860194156,0.5184753545802255,0.8550925720019497
8,1,"(4, 2, 1)",3,0,5.360436020993441,3.274422200628188,1.418663763937473,-0.9911911189135114,-0.13243929094865034,0.1515464075415717,0.9884501435890654,0.6036305332883833,-0.797264184120911
9,1,"(4, 2, 1)",3,1,-1.288199619640865,0.8479787786336956,-0.1132763498971956,0.6615003007320731,0.7499448993968669,0.9935910916850021,-0.11303425376497937,0.2788502935745527,-0.9603345842847616
10,1,"(4, 2, 1)",5,0,4.007464665936557,6.283185301599141,6.150355756579978,1.0,-5.5804456840089e-09,0.9911911184418667,-0.1324392944784944,-0.6479761846889917,-0.7616605963786611
11,1,"(4, 2, 1)",5,1,2.5046294776789404,2.9073235336916143,6.093635604809959,-0.9726842618708245,0.232132132004187,0.9820891782677851,-0.1884166816640892,-0.8039056340177612,0.5947568676312207
12,2,"(3, 2, 1, 1)",1,0,1.5707962879876758,3.96187265748441,1.5707962934033448,-0.6820164568666172,-0.7313368256577168,3.339155180709728e-08,0.9999999999999994,3.880722083144181e-08,0.9999999999999992
13,2,"(3, 2, 1, 1)",1,1,1.850909744344682e-08,6.619988490944621,4.375585718808587,0.9438159433630677,0.33047157979723835,-0.33047165323656413,-0.9438159176487183,0.9999999999999998,1.850909744344682e-08
14,2,"(3, 2, 1, 1)",3,0,1.2565912124880756,3.55501875857188,4.177825840561564,-0.9157497654174317,-0.4017491345826632,-0.5094651736843373,-0.8604912764245712,0.30906059899074595,0.951042347191481
15,2,"(3, 2, 1, 1)",3,1,2.065019431145255,5.467927580473262,1.3250048515883441,0.6856808163584416,-0.7279023410307327,0.2433240883754329,0.9699450438124134,-0.4743478641205575,0.8803374942624363
16,2,"(3, 2, 1, 1)",5,0,1.5707963007701218,-1.5707963333073232,3.503498999886894,-6.512426536760886e-09,-1.0,-0.9352235668074145,-0.35405773552913306,2.6024774840875048e-08,0.9999999999999997
17,2,"(3, 2, 1, 1)",5,1,4.725840595920797,2.5834451105469088e-08,4.712388958578031,0.9999999999999997,2.5834451105469085e-08,-2.1806658884692758e-08,-0.9999999999999998,0.013451209870528329,-0.9999095283839529
18,3,"(5, 2, 1)",1,0,3.5398736797795722,5.311017114159222,6.283185306074937,0.5635096923621506,-0.8261094519577381,1.0,-1.1046490617924783e-09,-0.9217290327970115,-0.38783448802174064
19,3,"(5, 2, 1)",1,1,-3.7970291580592184,3.1983695790123363,3.2131645765137797,-0.9983886233116386,-0.0567464258071921,-0.9974398230885407,-0.0715108335645765,-0.7927819518256495,0.6095053542500785
20,3,"(5, 2, 1)",3,0,5.356173690499841,3.9336612130357267,4.113760845571642,-0.7023744028737838,-0.7118076974771316,-0.563509693220078,-0.8261094513725246,0.6002268569255396,-0.799829807037277
21,3,"(5, 2, 1)",3,1,-1.2610418930329637,3.23521186076503,6.115026019701194,-0.9956209218156981,-0.09348251196271808,0.9858945131122525,-0.1673678852562659,0.30482476627571065,-0.9524084532725223
22,3,"(5, 2, 1)",5,0,2.232530638351502,3.1415926539999512,2.3495240944069287,-1.0,-4.101580072175788e-10,-0.7023744030610383,0.7118076972923587,-0.6144860218658974,0.7889277083050283
23,3,"(5, 2, 1)",5,1,5.567593282502571,2.9172293084328467,3.312147232178613,-0.9749359512489716,0.2224857095686439,-0.9854907904440255,-0.1697289072315315,0.7547049672173344,-0.6560643356085455
24,4,"(4, 3, 1)",1,0,3.3752245161351615,1.9601011571699116,6.283185287970863,-0.3795453546255856,0.92517313178785,0.9999999999999998,-1.9208723745625936e-08,-0.9728319922667141,-0.2315122347142279
25,4,"(4, 3, 1)",1,1,8.116329959006032,7.344475252513367,-1.7146960089457455,0.4877463845572669,0.8729853746491488,-0.14340357145171234,-0.9896642944427638,-0.2593492387304377,0.9657836053536747
26,4,"(4, 3, 1)",3,0,5.276510588476998,2.9011165155946577,4.3230841315647215,-0.9712246854995739,0.23816509038113412,-0.3795453716903608,-0.9251731247871535,0.5346737297586402,-0.8450585794523269
27,4,"(4, 3, 1)",3,1,4.91964678910872,1.8753461187072964,-0.12952960244535563,-0.2998637151785801,0.9539820503129498,0.9916227635928644,-0.12916770000449102,0.2057771715969198,-0.9785988737217981
28,4,"(4, 3, 1)",5,0,2.23731600067526,9.424777961796936,3.3820687916025802,-1.0,-1.0275563389959474e-09,-0.97122468549537,-0.2381650903982776,-0.6182542766314505,0.7859781481866541
29,4,"(4, 3, 1)",5,1,3.5902982700679797,5.713858386476336,2.6185091583450997,0.842263999589101,-0.539065260424163,-0.8662829289789762,0.499553687764995,-0.9010093600980184,-0.43379964616831973
30,5,"(4, 2, 1, 1)",1,0,2.700222372029491,1.78794662712639,3.141592641551282,-0.2154477261093446,0.9765153748478889,-0.9999999999999999,1.20385111993597e-08,-0.904167156994733,0.42717882931163825
31,5,"(4, 2, 1, 1)",1,1,1.1890199558354149,-8.602165049078874,5.045337287067063,-0.6803084611098331,-0.7329259155892706,0.32683083894422693,-0.9450828549471273,0.37256953621667616,0.9280042783755315
32,5,"(4, 2, 1, 1)",3,0,5.372020706876251,4.080921223847527,4.495238668871927,-0.5903301105740837,-0.807161917182414,-0.21544773702802592,-0.9765153724389097,0.6128258771921754,-0.790217972614924
33,5,"(4, 2, 1, 1)",3,1,9.88947408371227,6.114551229014386,0.9293548104849811,0.9858149372788247,-0.16783595990712752,0.5983510546022791,0.8012340578484795,-0.8939577897375602,-0.4481511688789131
34,5,"(4, 2, 1, 1)",5,0,4.018745815715175,6.2831853137595575,-0.9393285659615491,1.0,6.579970989614431e-09,0.5903301140418005,-0.8071619146462468,-0.6393427279772199,-0.76892189212081
35,5,"(4, 2, 1, 1)",5,1,17.542740004383262,7.989237090182992,4.231647912418849,-0.1348434385101322,0.9908669169423128,-0.462436372204116,-0.8866524694956285,0.2609251331732487,-0.9653590393623103
36,6,"(3, 2, 2, 1)",1,0,0.06380426772200619,3.4598172201371913,6.2831851828309215,-0.949792413711382,-0.312880761403297,0.9999999999999922,-1.2434866494338831e-07,0.997965198154674,0.0637609855013407
37,6,"(3, 2, 2, 1)",1,1,4.684570133267883,4.072121091773598,1.5500780327036565,-0.5974102922497059,-0.8019357472479457,0.02071681190966914,0.9997853838220978,-0.027815259142469583,-0.9996130808261952
38,6,"(3, 2, 2, 1)",3,0,0.7296191804896206,1.4828389534904574,-0.31822444119825366,0.08784400347157109,0.9961342434903473,0.9497924529307104,-0.31288064234762814,0.745428305272722,0.6665858097036252
39,6,"(3, 2, 2, 1)",3,1,3.2395638978508026,4.360223949016132,3.0242898831915777,-0.34493077361413577,-0.9386281273294306,-0.9931279154087378,0.1170339422385448,-0.9952046551128862,-0.0978145921713176
40,6,"(3, 2, 2, 1)",5,0,0.6812816507159647,-7.973420863895153e-09,1.6587537054598553,1.0,-7.973420863895153e-09,-0.08784400881136809,0.9961342430194579,0.7767661873106422,0.6297890839407176
41,6,"(3, 2, 2, 1)",5,1,4.620277776203509,1.5317830124815952,1.16946730038427,0.03900341843743429,0.9992390771733232,0.3906421124181781,0.9205426334534775,-0.0919810069077142,-0.9957607616130709
42,7,"(3, 2, 1, 1, 1)",1,0,0.3454636184939438,-0.20103066290060975,12.56637054919111,0.9798612962230911,-0.19967934335830426,0.9999999999999979,-6.516806343584477e-08,0.9409185572395986,0.3386329408698336
43,7,"(3, 2, 1, 1, 1)",1,1,2.370219663640691,0.44296762902094206,3.726151231071322,0.9034836507671117,0.42862255283236306,-0.8339557578951687,-0.5518313092544629,-0.7169542065582865,0.6971202663087467
44,7,"(3, 2, 1, 1, 1)",3,0,0.8831841048169369,5.612212052119514,-2.940561928646161,0.7832169169942743,-0.6217485512118094,-0.9798612838343793,-0.19967940415186022,0.6346938050853324,0.7727637244244208
45,7,"(3, 2, 1, 1, 1)",3,1,5.072767954611587,3.551531270961669,4.623051227669325,-0.91714528877696,-0.3985530319471007,-0.08921896254407688,-0.9960120364345797,0.3526288887447384,-0.9357632536184838
46,7,"(3, 2, 1, 1, 1)",5,0,-0.793448356743224,3.1415926803219216,0.6709732358849161,-0.9999999999999997,-2.6732128388322197e-08,0.7832169289164002,0.621748536193502,0.7013915842439175,-0.7127761538883071
47,7,"(3, 2, 1, 1, 1)",5,1,4.624337718105332,4.73061953667568,4.916827675162984,0.01822954647720328,-0.9998338280110528,0.20301757582236044,-0.9791750935901159,-0.0879375291072575,-0.9961259915163896
48,8,"(6, 2, 1)",1,0,4.712389023259242,5.9303491777034125,4.712388960844426,0.9383964335911552,-0.34556060745316536,-1.954026381307768e-08,-0.9999999999999998,4.2874551725069955e-08,-0.9999999999999991
49,8,"(6, 2, 1)",1,1,3.141592683459172,0.36302775437246504,5.075416771061945,0.9348259356388886,0.35510627994570365,0.3551063138843625,-0.9348259227468292,-0.9999999999999996,-2.986937884773957e-08
50,8,"(6, 2, 1)",3,0,1.9230700360300441,0.9534405387729677,5.506881353183773,0.578881064625138,0.8154119897441211,0.7135080293785703,-0.7006470523825169,-0.3450327796793663,0.9385906354458955
51,8,"(6, 2, 1)",3,1,1.0948389953084638,2.3771274122089587,1.7979684767505801,-0.7217525944023354,0.6921511341271485,-0.22522323310918743,0.974307187322276,0.4581895854004083,0.8888544896835489
