n,weyl_b,weyl_abs_c
1,0.22637939053570744,0.20888246192213256
11,0.0914300214042556,0.0522151242721316
21,0.06563280634767449,0.030668152516601488
31,0.0535753313510578,0.02238739272449486
41,0.04631718230596288,0.01800682118349428
51,0.04135782639958252,0.015284286187166707
61,0.03770072474284053,0.013418532215294654
71,0.03486306209865225,0.012053339412072539
81,0.03257961737568971,0.011006451338091416
91,0.03069129270300258,0.010174938292879965
101,0.029096211360447266,0.009496238562255677
111,0.02772576438089619,0.008930100621946657
121,0.026531854948758482,0.008449424828547158
131,0.025479644456013584,0.008035277468951385
141,0.024543202240414563,0.0076740160217854125
151,0.023702779693773046,0.007355551126614124
161,0.022943038058476084,0.007072252983856053
171,0.02225185945862923,0.00681823938462589
181,0.021619527286379392,0.006588898344848104
191,0.021038147677441943,0.0063805597082371435
201,0.02050123257089187,0.006190264061872064
211,0.02000339362425596,0.006015596831887571
221,0.01954011377573822,0.005854567020036505
231,0.019107574212826828,0.005705517129945825
241,0.01870252154366442,0.005567055279902533
251,0.018322164584327838,0.005438003356633914
261,0.017964093265470216,0.005317356939664286
271,0.017626214268402662,0.005204253980250151
281,0.017306699460843844,0.005097950072919133
291,0.01700394423018925,0.004997798748529014
301,0.016716533545572232,0.0049032356326961235
311,0.016443214110259174,0.004813765608819409
321,0.01618287135392943,0.0047289523379037135
331,0.015934510301473803,0.00464840964271751
341,0.01569723956956709,0.004571794378403382
351,0.015470257904285911,0.004498800497044542
361,0.015252842796441346,0.004429154077883801
371,0.015044340806095902,0.004362609143650609
381,0.014844159301136806,0.004298944120769477
391,0.01465175937204577,0.004237958829994781
401,0.014466649729995618,0.004179471916402555
411,0.014288381430991814,0.004123318645187446
421,0.014116543297102546,0.004069349003520628
431,0.013950757928498758,0.004017426059652607
441,0.013790678218292218,0.003967424539220943
451,0.013635984296945625,0.003919229585678252
461,0.013486380845060597,0.003872735677466821
471,0.013341594723193628,0.003827845679104769
481,0.013201372875430772,0.00378447000711013
491,0.01306548047013073,0.0037425258947525464
501,0.012933699246764907,0.0037019367421224914
511,0.012805826042397994,0.00366263154009161
521,0.012681671475186784,0.0036245443584830284
531,0.012561058765499344,0.003587613890169372
541,0.012443822677976946,0.0035517830440428
551,0.012329808570142431,0.003516998580812114
561,0.012218871535102371,0.0034832107863937978
571,0.012110875627542483,0.003450373178437438
581,0.012005693163619435,0.003418442242062447
591,0.011903204086552044,0.003387377191470975
601,0.011803295390751312,0.0033571397544820414
611,0.011705860598210327,0.003327693977437818
621,0.011610799281640383,0.0032990060482580574
631,0.011518016629500527,0.0032710441356762487
641,0.011427423048641971,0.0032437782429415307
651,0.011338933800778161,0.003217180074488013
661,0.011252468669435356,0.0031912229142196935
671,0.01116795165440454,0.0031658815142527885
681,0.011085310691053618,0.00314113199306032
691,0.011004477392141332,0.0031169517421076876
701,0.010925386810037463,0.003093319340141676
711,0.010847977217462113,0.0030702144744232385
721,0.010772189905072838,0.0030476178682290467
731,0.01069796899438158,0.0030255112140622487
741,0.010625261264656682,0.003003877112032427
751,0.01055401599258321,0.0029826990129500075
761,0.010484184803591812,0.002961961165713234
771,0.010415721533861888,0.002941648568608457
781,0.01034858210210371,0.0029217469241871186
791,0.010282724390317244,0.002902242597412119
801,0.010218108132786119,0.0028831225768017887
811,0.010154694812650245,0.002864374438313
821,0.010092447565448304,0.002845986311749371
831,0.010031331089083939,0.0028279468494805116
841,0.009971311559715368,0.0028102451972893405
851,0.009912356553114232,0.002792870967184058
861,0.009854434971077353,0.0027758142120051232
871,0.0097975169725118,0.0027590654017144445
881,0.009741573908848833,0.002742615401208681
891,0.009686578263465861,0.0027264554495616267
901,0.00963250359482859,0.002710577140586423
911,0.009579324483083795,0.002694972404606588
921,0.00952701647986054,0.0026796334913647968
931,0.009475556061052215,0.0026645529539752744
941,0.00942492058237443,0.0026497236338505203
951,0.009375088237505436,0.002635138646532198
961,0.009326038018637184,0.002620791368362241
971,0.009277749679270753,0.0026066754239364442
981,0.009230203699110207,0.002592784674287252
991,0.009183381250913114,0.0025791132057451094
1001,0.009137264169173542,0.002565655319433091
1011,0.00909183492051674,0.0025524055213583807
1021,0.00904707657569609,0.0025393585130473184
1031,0.009002972783092644,0.0025265091827035846
1041,0.008959507743620587,0.002513852596849553
1051,0.008916666186952416,0.0025013839924188375
1061,0.008874433348983746,0.0024890987692698374
1071,0.008832794950459466,0.0024769924831025136
1081,0.008791737176693681,0.002465060838742872
1091,0.008751246658315726,0.0024532996837809407
1101,0.008711310452984067,0.0024417050025320464
1111,0.008671916028007765,0.002430272910312503
1121,0.008633051243826961,0.0024189996480012965
1131,0.00859470433829751,0.0024078815768771022
1141,0.008556863911738433,0.0023969151737119887
1151,0.008519518912697477,0.002386097026103151
1161,0.008482658624392181,0.002375423828040013
1171,0.008446272651792597,0.0023648923756791618
1181,0.00841035090930592,0.002354499563327117
1191,0.0083748836090351,0.0023442423796122824
