index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,6.102600093001249,1.7509748001160919,3.1415926336989664,-0.17920516042499088,0.9838117251166776,-0.9999999999999998,1.989082688592256e-08,0.9837387536781494,-0.1796053020146151,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,5.309097320471986,3.8718910044019026,2.131211171681555,-0.7449754080854663,-0.6670919287084001,-0.5315376316537176,0.8470346782369402,0.56192269518798,-0.8271897512860495,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,4.0452786223947745,1.8328587449853655,4.532210526702111,-0.2590731039944695,0.9658577156013565,-0.17920514110428948,-0.983811728636019,-0.6187184335502006,-0.7856128181141051,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,4.499550012435729,0.769193001316628,6.3192918645115235,0.7184722160024608,0.6955556590471486,0.9993482290720164,0.036098712589574394,-0.2112356544706896,-0.9774351632105014,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,2.3400626593616036,3.1415926562545256,4.450326564076315,-1.0,-2.6647323122448692e-09,-0.25907310217663443,-0.9658577160889564,-0.6956083436426823,0.718421208104747,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,2.6753304733160306,2.8648476281756032,2.893121247151174,-0.9619498762158916,0.2732259790873316,-0.9692894696832189,0.24592259750015694,-0.8932548633696642,0.4495506079035402,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,1.5707963279211477,6.179951145293888,4.712388979943162,0.9946760846405678,-0.10305089346585,-4.4152788698466733e-10,-1.0,-1.126251031154725e-09,1.0,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,3.0299305801189624,1.5707963097425257,3.14159263771021,1.705237090993482e-08,0.9999999999999999,-0.9999999999999999,1.587958310434609e-08,-0.9937722655435185,0.11143017650754457,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,4.983754079937609,2.7259452512093456,4.489049149776959,-0.9148551026158888,0.4037822943340529,-0.22148773207620462,-0.9751631579073009,0.268046830973411,-0.963405883522159,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,-0.7611457014518437,-0.18588335513592666,2.788178020189656,0.9827733770356736,-0.1848147434321673,-0.9381963684098701,0.3461034156181231,0.7240462368923594,-0.6897514384486729,0.7853981633974483,0.2575328339591237,0.1571025538924139
10,1,"(4, 2, 1)",5,0,4.712388979283326,4.712388981686994,2.8523157414811373,1.3023038586861646e-09,-1.0,-0.9584503935743388,0.28525925586594925,-1.1013636285856676e-09,-1.0,0.7853981633974483,0.2575328339591237,0.1571025538924139
11,1,"(4, 2, 1)",5,1,12.56637061528302,-1.5478054852830594,9.401787120100309,0.022988816153488363,-0.9997357222445645,-0.9997357222639387,0.022988815310944648,1.0,9.238471751765626e-10,0.7853981633974483,0.2575328339591237,0.1571025538924139
12,2,"(3, 2, 1, 1)",1,0,-4.712388983191576,-0.0471188808646707,10.995574287046948,0.9988901109027856,-0.04710144733042434,-5.173288309649146e-10,-1.0,2.806886095263954e-09,1.0,0.7853981633974482,0.2575328339591234,-0.13568254977480887
13,2,"(3, 2, 1, 1)",1,1,1.1864723990749362,4.712388985088347,3.141592637730851,4.7036568357366295e-09,-1.0,-0.9999999999999999,1.585894228196147e-08,0.37493246823661514,0.9270521259681138,0.7853981633974482,0.2575328339591234,-0.13568254977480887
