n,weyl_b,weyl_abs_c
50,0.30513926152887816,0.13171472138470364
60,0.30573495622524316,0.12722963085863803
70,0.30613338456324257,0.12366121286237775
80,0.30641529596318406,0.12073467088733558
90,0.3066233952490123,0.11827816684160108
100,0.306782172380216,0.11617803208031674
110,0.3069065754226692,0.11435568661687512
120,0.30700619217474046,0.11275484263431412
130,0.3070874259796268,0.11133398356138269
140,0.3071546995399981,0.11006172790336155
150,0.3072111555202923,0.10891385552895638
160,0.3072590819756833,0.10787133506063373
170,0.3073001802050159,0.1069189770589638
180,0.30733573873995645,0.10604449117823656
190,0.30736674948131437,0.10523781150084854
200,0.3073939870980098,0.10449060433508617
210,0.30741806447518716,0.10379590289003282
220,0.3074394721779985,0.10314783190562604
230,0.3074586070220029,0.10254139718206368
240,0.30747579307837825,0.1019723226745528
250,0.3074912973348285,0.10143692295055828
260,0.3075053415220008,0.10093200228187982
270,0.3075181111493883,0.10045477403837744
280,0.3075297624838207,0.10000279572647752
290,0.30754042799278736,0.09957391620611578
300,0.3075502206295013,0.09916623247676526
310,0.3075592372350675,0.098778054047715
320,0.30756756126120255,0.09840787336812173
330,0.30757526496540866,0.09805434113531764
340,0.30758241119312757,0.09771624555794034
350,0.3075890548340183,0.09739249484645107
360,0.30759524401923244,0.09708210235371784
370,0.30760102111141485,0.09678417390435534
380,0.3076064235277789,0.09649789694170696
390,0.307611484427885,0.09622253119216229
400,0.30761623329117427,0.09595740060229296
410,0.30762069640414236,0.09570188634869226
420,0.30762489727308573,0.09545542075581626
430,0.3076288569752448,0.09521748198566016
440,0.3076325944587044,0.09498758938612095
450,0.30763612679950114,0.09476529940360212
460,0.3076394694228224,0.09455020198073427
470,0.3076426362939708,0.0943419173725939
480,0.30764564008375483,0.09414009332514262
490,0.30764849231218694,0.09394440256818282
500,0.3076512034737027,0.09375454058220711
510,0.3076537831465833,0.09357022360447331
520,0.3076562400888534,0.09339118684458736
530,0.30765858232252796,0.09321718288407865
540,0.3076608172078288,0.09304798023794447
550,0.3076629515087079,0.09288336205915382
560,0.307664991450844,0.09272312496960122
570,0.3076669427730918,0.09256707800319841
580,0.3076688107732073,0.09241504164859027
590,0.3076706003485956,0.09226684698059362
600,0.30767231603267664,0.09212233487080024
610,0.30767396202740915,0.09198135526895523
620,0.30767554223244176,0.09184376654772919
630,0.3076770602712733,0.09170943490438432
640,0.30767851951478686,0.09157823381357844
650,0.30767992310244363,0.09145004352623332
660,0.3076812739614132,0.09132475060993883
670,0.30768257482385497,0.09120224752689765
680,0.3076838282425687,0.09108243224582502
690,0.3076850366051751,0.09096520788463991
700,0.30768620214699993,0.09085048238108762
710,0.307687326962772,0.09073816818874914
720,0.3076884130172912,0.09062818199616984
730,0.3076894621551389,0.09052044446704066
740,0.3076904761095518,0.09041487999960651
750,0.3076914565105229,0.09031141650363228
760,0.30769240489222405,0.09020998519343859
770,0.30769332269980065,0.0901105203956547
780,0.3076942112956065,0.09001295937046194
790,0.3076950719649236,0.08991724214523789
800,0.3076959059212312,0.08982331135957544
810,0.30769671431104495,0.08973111212078777
820,0.30769749821837866,0.08964059186906592
830,0.3076982586688599,0.08955170025152803
840,0.3076989966335262,0.08946438900448239
850,0.30769971303233845,0.08937861184328533
860,0.3077004087374231,0.08929432435920148
870,0.30770108457607925,0.08921148392277178
880,0.30770174133356143,0.08913004959318549
890,0.30770237975566506,0.08904998203324066
900,0.3077030005511201,0.08897124342947293
910,0.3077036043938177,0.08889379741710002
920,0.3077041919248833,0.08881760900943103
930,0.3077047637546029,0.08874264453143876
