index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,2.9610074381898577,3.324040243167231,3.141592649417022,-0.9834025553555161,-0.18143708033431574,-1.0,4.172771140072282e-09,-0.983738753458744,0.17960530321634866,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,-5.616102157594105,3.2308160965311252,6.169802021123743,-0.996022228526698,-0.08910510805060659,0.9935789985551049,-0.11314050393309531,0.78562965216468,0.6186970580499022,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,5.379499338671765,3.777679780456266,2.959145059997343,-0.8044263616531779,-0.5940523787322383,-0.983402554627044,0.18143708428268934,0.6187184337836534,-0.7856128179302466,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,10.811498927417158,-0.05082077270841618,12.666950253111628,0.9987089024484995,-0.05079889930021601,0.9949461308129037,0.10041014281651202,-0.1830375929940191,-0.9831059147166982,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,3.9431226480348474,-7.85571721291578e-10,-0.6360871276725402,1.0,-7.85571721291578e-10,0.8044263611743315,-0.5940523793806602,-0.6956083434868822,-0.7184212082555997,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,-0.4635303139279409,2.8900508780621585,3.3675354160811315,-0.968529828904987,0.24889751007448174,-0.9745833375912918,-0.22402526216794863,0.8944796407982415,-0.44710868052124525,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,4.712388980683513,6.162124051986254,4.712388980255087,0.9926810315944653,-0.12076576299824492,-1.2960317869966215e-10,-1.0,2.9882300471898876e-10,-1.0,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,3.141592652996876,1.0063382718550031,2.5771345989054195,0.5349580167867659,0.8448786423360282,-0.8448786424727206,0.5349580165708827,-1.0,5.929173933010038e-10,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,4.441023880834849,2.1073186688561,5.160024228005122,-0.5111500712564743,0.8594914802687117,0.4328349854930544,-0.901473169502691,-0.26804683097044557,-0.963405883522984,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,4.628634125555232,-2.251177031904051,-0.953945516882757,-0.6290890043505936,-0.777333277690579,0.5784692256291868,-0.8157042080312992,-0.08365696751971066,-0.9964946120202588,0.7853981633974483,0.2575328339591237,0.1571025538924139
