weyl_a,weyl_b,weyl_c,size,w1,w2,w3,h1,h2,h3
0.7853981633974482,0.2599320325017791,0.20622340879136836,18,5,3,1,2,2,2
0.7853981633974483,0.2858793856105333,0.21005489883781348,19,5,3,1,2,2,3
0.7853981633974483,0.3016327002198107,0.21120412339667105,20,5,3,1,2,2,4
0.7853981633974482,0.31237711543749214,-0.21111116084806714,21,5,3,1,2,2,5
0.7853981633974482,0.3202731826663463,-0.21039788771365675,22,5,3,1,2,2,6
0.7853981633974482,0.21961294991042468,-0.18556774480487626,21,5,3,1,2,3,2
0.7853981633974483,0.242976244093847,0.18989058957979754,22,5,3,1,2,3,3
0.7853981633974483,0.25715475011029554,0.19137196028745507,23,5,3,1,2,3,4
0.7853981633974483,0.26682922145623156,0.19150370563679342,24,5,3,1,2,3,5
0.7853981633974483,0.2739452331728094,0.19094052385894056,25,5,3,1,2,3,6
0.7853981633974483,0.19123643017286618,0.16883876939288456,24,5,3,1,2,4,2
0.7853981633974483,0.21282014522983417,0.1735148677939975,25,5,3,1,2,4,3
0.7853981633974482,0.2259275092024584,-0.1752880537013093,26,5,3,1,2,4,4
0.7853981633974482,0.2348787054460466,-0.1756535095205045,27,5,3,1,2,4,5
0.7853981633974483,0.24146859749648808,0.17527566066117117,28,5,3,1,2,4,6
0.7853981633974483,0.1700008719516113,0.15520038774051326,27,5,3,1,2,5,2
0.7853981633974483,0.19023657555824602,0.16013270249933953,28,5,3,1,2,5,3
0.7853981633974481,0.2025366932734034,-0.1621494367082228,29,5,3,1,2,5,4
0.7853981633974483,0.21094384180744097,0.16272840741576555,30,5,3,1,2,5,5
0.7853981633974482,0.21713795680317372,-0.16253270948574983,31,5,3,1,2,5,6
0.7853981633974481,0.15344005683897421,-0.14391830305835285,30,5,3,1,2,6,2
0.7853981633974481,0.17259403235719795,-0.14903608766061271,31,5,3,1,2,6,3
0.7853981633974483,0.18424725406750841,0.15125220057526612,32,5,3,1,2,6,4
0.7853981633974482,0.19221832764069724,-0.15201782879885073,33,5,3,1,2,6,5
0.7853981633974483,0.19809485011586414,0.15198904844137662,34,5,3,1,2,6,6
0.7853981633974482,0.24876990483904038,-0.2309498195795383,23,5,3,1,3,2,2
0.7853981633974482,0.27438785434955815,-0.2347868291865023,24,5,3,1,3,2,3
0.7853981633974483,0.2899152943910641,0.23598247497811897,25,5,3,1,3,2,4
0.7853981633974483,0.30049643471267196,0.23594989405283062,26,5,3,1,3,2,5
0.7853981633974482,0.3082716960753027,-0.235299707674411,27,5,3,1,3,2,6
0.7853981633974483,0.20696907670791287,0.20569936245257736,26,5,3,1,3,3,2
0.7853981633974482,0.2300933643979297,0.20997724674059803,27,5,3,1,3,3,3
0.7853981633974482,0.24412045955541029,-0.2114762577209568,28,5,3,1,3,3,4
0.7853981633974482,0.2536923584295776,-0.2116519329898221,29,5,3,1,3,3,5
0.7853981633974483,0.26073745084575073,0.21114292000858725,30,5,3,1,3,3,6
0.7853981633974482,0.18570443197241993,-0.17771246339445668,29,5,3,1,3,4,2
0.7853981633974483,0.19912871900730789,0.1903036530754516,30,5,3,1,3,4,3
0.7853981633974483,0.21214046730927905,0.19207347474522152,31,5,3,1,3,4,4
0.7853981633974482,0.2210331969567303,-0.19246882439340407,32,5,3,1,3,4,5
0.7853981633974481,0.22758767073793518,-0.19213583241180743,33,5,3,1,3,4,6
0.7853981633974483,0.16963280343819243,0.15593310573145658,32,5,3,1,3,5,2
0.7853981633974482,0.17605787772674208,-0.1744681532493555,33,5,3,1,3,5,3
0.7853981633974482,0.18830519661496137,-0.17646623934481376,34,5,3,1,3,5,4
0.7853981633974483,0.19668717015734405,0.1770635301798711,35,5,3,1,3,5,5
0.7853981633974483,0.20287236231893946,0.17690399223746311,36,5,3,1,3,5,6
0.7853981633974483,0.15647224052469255,0.1390357244035636,35,5,3,1,3,6,2
0.7853981633974483,0.16148059618248123,0.15812384670580748,36,5,3,1,3,6,3
0.7853981633974483,0.16975776581573498,0.16366693616024008,37,5,3,1,3,6,4
0.7853981633974482,0.17772942643428813,-0.16444149322316548,38,5,3,1,3,6,5
0.7853981633974482,0.18361737565675007,-0.164441157242174,39,5,3,1,3,6,6
0.7853981633974483,0.2496920881792395,0.24163803055726696,28,5,3,1,4,2,2
0.7853981633974482,0.26692470245106126,-0.2535209619234218,29,5,3,1,4,2,3
0.7853981633974483,0.2822143731209268,0.254752093978035,30,5,3,1,4,2,4
0.7853981633974483,0.2926144694338202,0.2547712302465106,31,5,3,1,4,2,5
0.7853981633974482,0.3002474568715181,-0.2541773376759675,32,5,3,1,4,2,6
0.7853981633974482,0.220933333376359,0.19868186566695734,31,5,3,1,4,3,2
0.7853981633974482,0.22516318170041227,0.22152531943650722,32,5,3,1,4,3,3
0.7853981633974483,0.23536083086426185,0.22667538846368096,33,5,3,1,4,3,4
0.7853981633974483,0.24479155525634866,0.22689049912337023,34,5,3,1,4,3,5
0.7853981633974483,0.2517284233785215,0.22643161152877234,35,5,3,1,4,3,6
0.7853981633974483,0.1984716417599417,0.1687029251236618,34,5,3,1,4,4,2
0.7853981633974482,0.20299772912045366,-0.18988315783751109,35,5,3,1,4,4,3
0.7853981633974483,0.20476402235731594,0.20274083598336823,36,5,3,1,4,4,4
0.7853981633974483,0.2115233975411961,0.2051875431241026,37,5,3,1,4,4,5
0.7853981633974482,0.2179954411220395,-0.20489717603746005,38,5,3,1,4,4,6
0.7853981633974483,0.1805720405171547,0.1464502049815346,37,5,3,1,4,5,2
0.7853981633974483,0.185318487489873,0.1663770999938965,38,5,3,1,4,5,3
0.7853981633974482,0.18730062107969125,-0.17850089503861888,39,5,3,1,4,5,4
0.7853981633974482,0.1879164445063548,-0.18679738491593767,40,5,3,1,4,5,5
0.7853981633974483,0.19292040069853922,0.1877921474182438,41,5,3,1,4,5,6
0.7853981633974482,0.16600361148918186,0.12923682071855058,40,5,3,1,4,6,2
0.7853981633974482,0.17091328766209024,-0.14815930231387942,41,5,3,1,4,6,3
0.7853981633974482,0.17307446574195318,0.15969480973082284,42,5,3,1,4,6,4
0.7853981633974482,0.17385954081838673,-0.16760099372430926,43,5,3,1,4,6,5
0.7853981633974483,0.1738877159166119,0.17344304160139679,44,5,3,1,4,6,6
0.7853981633974483,0.2646154120047619,0.23685764810303667,33,5,3,1,5,2,2
0.7853981633974482,0.2684248692136073,-0.26183205444688173,34,5,3,1,5,2,3
0.7853981633974482,0.2768925458855742,-0.26968221380559143,35,5,3,1,5,2,4
0.7853981633974483,0.287113844057596,0.26974560887058807,36,5,3,1,5,2,5
0.7853981633974483,0.2946025724996719,0.26920210212353446,37,5,3,1,5,2,6
0.7853981633974482,0.23304260661747378,-0.1929728700140343,36,5,3,1,5,3,2
0.7853981633974482,0.23722025922973433,-0.21553214143068988,37,5,3,1,5,3,3
0.7853981633974482,0.23874050730733742,-0.22916825017607678,38,5,3,1,5,3,4
0.7853981633974482,0.23899004076739683,-0.2384476344912203,39,5,3,1,5,3,5
0.7853981633974483,0.24526465729143432,0.23857681325278168,40,5,3,1,5,3,6
0.7853981633974482,0.20862341399268125,-0.16239127218244498,39,5,3,1,5,4,2
0.7853981633974483,0.21307701559102554,0.18331639032263425,40,5,3,1,5,4,3
0.7853981633974483,0.21483757190741137,0.19600100709482238,41,5,3,1,5,4,4
0.7853981633974482,0.21528609046769276,-0.20465498715924202,42,5,3,1,5,4,5
0.7853981633974483,0.21503501869551656,0.21102670657933498,43,5,3,1,5,4,6
0.7853981633974482,0.18928097484064832,-0.13972746334197694,42,5,3,1,5,5,2
0.7853981633974483,0.19394233794346416,0.15942606332931408,43,5,3,1,5,5,3
0.7853981633974483,0.19590841129031134,0.17139946932856098,44,5,3,1,5,5,4
0.7853981633974483,0.19654100558262222,0.17958634118046657,45,5,3,1,5,5,5
0.7853981633974483,0.19644956201901564,0.18562499899115537,46,5,3,1,5,5,6
0.7853981633974483,0.17360400012492505,0.12222645827904266,45,5,3,1,5,6,2
0.7853981633974483,0.17842088078124263,0.1409446063957418,46,5,3,1,5,6,3
0.7853981633974482,0.18055828535077545,-0.15234917812343074,47,5,3,1,5,6,4
0.7853981633974482,0.1813532024090989,-0.16016169590803564,48,5,3,1,5,6,5
0.7853981633974483,0.18140828243440943,0.1659326630367577,49,5,3,1,5,6,6
0.7853981633974482,0.27686593163279305,-0.23357335584914907,38,5,3,1,6,2,2
0.7853981633974481,0.28064704390601136,-0.2582599317632992,39,5,3,1,6,2,3
0.7853981633974482,0.2819228968700047,-0.27310627505192464,40,5,3,1,6,2,4
0.7853981633974483,0.28315800389350354,0.28202416072749514,41,5,3,1,6,2,5
0.7853981633974483,0.29050774956579684,0.2815258548020818,42,5,3,1,6,2,6
0.7853981633974483,0.24296531456722725,0.18892626811357704,41,5,3,1,6,3,2
0.7853981633974483,0.2470870350300851,0.21121200577382027,42,5,3,1,6,3,3
0.7853981633974482,0.24861049662131318,-0.22465324874294268,43,5,3,1,6,3,4
0.7853981633974482,0.24888965940887875,-0.23378238053902312,44,5,3,1,6,3,5
0.7853981633974483,0.24851774470236698,0.24047838868472482,45,5,3,1,6,3,6
0.7853981633974483,0.21694377412686716,0.15783525366331919,44,5,3,1,6,4,2
0.7853981633974483,0.2213247396139426,0.17850571651289737,45,5,3,1,6,4,3
0.7853981633974483,0.22307690934954483,0.19101433029941983,46,5,3,1,6,4,4
0.7853981633974483,0.22354696857015455,0.19953515126046462,47,5,3,1,6,4,5
0.7853981633974483,0.22333164351680423,0.20580097432801203,48,5,3,1,6,4,6
0.7853981633974482,0.1964265737346924,-0.13481335575069142,47,5,3,1,6,5,2
0.7853981633974483,0.20100511546459998,0.15427648448376186,48,5,3,1,6,5,3
0.7853981633974483,0.2029540968261756,0.16609107052783578,49,5,3,1,6,5,4
0.7853981633974483,0.20360110029259104,0.17415964651990556,50,5,3,1,6,5,5
0.7853981633974483,0.203539695318387,0.180105224307737,51,5,3,1,6,5,6
0.7853981633974483,0.17984930835760427,0.11705334872006645,50,5,3,1,6,6,2
0.7853981633974483,0.1845772628666582,0.1355541929639621,51,5,3,1,6,6,3
0.7853981633974483,0.18669105628355354,0.14681529385486503,52,5,3,1,6,6,4
0.7853981633974482,0.18749433695336393,-0.15452243427336576,53,5,3,1,6,6,5
0.7853981633974483,0.18757415303663283,0.16021128997515,54,5,3,1,6,6,6
0.7853981633974483,0.27290324856899506,0.20417947748266663,20,6,3,1,2,2,2
0.7853981633974483,0.2985869848704654,0.207918698757112,21,6,3,1,2,2,3
0.7853981633974482,0.3140852245892223,-0.2089952259042045,22,6,3,1,2,2,4
0.7853981633974483,0.3245899522396858,0.20884489628397862,23,6,3,1,2,2,5
0.7853981633974483,0.3322628401138932,0.2080861447862965,24,6,3,1,2,2,6
0.7853981633974483,0.23295572068140746,0.18518940755680546,23,6,3,1,2,3,2
0.7853981633974483,0.25596923782227865,0.1894431484510113,24,6,3,1,2,3,3
0.7853981633974483,0.2698391845886423,0.19086671638852692,25,6,3,1,2,3,4
0.7853981633974483,0.27923952671803054,0.190950956656045,26,6,3,1,2,3,5
0.7853981633974483,0.28610959166383054,0.19034888844303754,27,6,3,1,2,3,6
0.7853981633974483,0.20450298204661888,0.1694069504799378,26,6,3,1,2,4,2
0.7853981633974483,0.22569845488492568,0.1740284919211259,27,6,3,1,2,4,3
0.7853981633974483,0.23847701947616518,0.17575397382329427,28,6,3,1,2,4,4
0.7853981633974483,0.24714372313224153,0.17607903231578081,29,6,3,1,2,4,5
0.7853981633974483,0.2534829513667072,0.17566731380893064,30,6,3,1,2,4,6
0.7853981633974483,0.18300835232685753,0.15631759550463453,29,6,3,1,2,5,2
0.7853981633974482,0.2028414243036334,-0.16120496894247083,30,6,3,1,2,5,3
