index,entry,diagram,size,weyl_a,weyl_b,weyl_c
69,69,"(6, 3, 1, 1, 1)",12,0.7853981633974483,0.3102868549551232,0.2196242907110042
70,70,"(6, 2, 2, 1, 1)",12,0.7853981633974482,0.22207756492157493,-0.1816529663945472
71,71,"(6, 2, 1, 1, 1, 1)",12,0.7853981633974482,0.2836762063658078,-0.24138296166286644
72,72,"(5, 4, 3)",12,0.7853981633974483,0.304319414803753,-0.021444062033888933
73,73,"(5, 4, 1, 1, 1)",12,0.7853981633974481,0.22491693657689105,-0.19069510012835433
74,74,"(5, 3, 3, 1)",12,0.7853981633974483,0.17903220862498903,0.13194556126018475
75,75,"(5, 3, 2, 2)",12,0.7853981633974483,0.29997654946331626,0.14043656011542943
76,76,"(5, 3, 1, 1, 1, 1)",12,0.7853981633974482,0.29514702024779815,-0.22207756492157493
77,77,"(5, 2, 2, 2, 1)",12,0.7853981633974482,0.19069510012835433,-0.09536412903056046
78,78,"(5, 2, 2, 1, 1, 1)",12,0.7853981633974482,0.2196242907110042,-0.18072975247805356
79,79,"(5, 2, 1, 1, 1, 1, 1)",12,0.7853981633974481,0.2760515552170215,-0.2417296197205605
80,80,"(4, 4, 3, 1)",12,0.7853981633974483,0.24526972427934446,0.0929868313456943
81,81,"(4, 4, 2, 1, 1)",12,0.7853981633974482,0.29997654946331664,-0.18160357216487277
82,82,"(4, 3, 3, 2)",12,0.7853981633974483,0.24526972427934413,-0.03271258786738507
83,83,"(4, 3, 3, 1, 1)",12,0.7853981633974483,0.1790322086249887,0.109861272366099
84,84,"(4, 3, 1, 1, 1, 1, 1)",12,0.7853981633974482,0.2385682479850626,-0.21562766185083415
85,85,"(4, 2, 2, 2, 1, 1)",12,0.7853981633974483,0.19401259887971367,0.09773029781415943
86,86,"(4, 2, 2, 1, 1, 1, 1)",12,0.7853981633974481,0.2134737192365348,-0.16300054402896702
87,87,"(4, 2, 1, 1, 1, 1, 1, 1)",12,0.7853981633974482,0.2558497537938704,-0.24178368757363167
88,88,"(3, 3, 3, 2, 1)",12,0.7853981633974483,0.30431941480375313,-0.06626816057050977
89,89,"(3, 3, 2, 2, 1, 1)",12,0.7853981633974483,0.23017939154758593,-0.04372144438193004
90,90,"(3, 3, 2, 1, 1, 1, 1)",12,0.7853981633974482,0.2843110901933992,-0.15074548345608285
91,91,"(3, 2, 2, 2, 2, 1)",12,0.7853981633974483,0.15727239763539308,0.007488334108409933
92,92,"(3, 2, 2, 2, 1, 1, 1)",12,0.7853981633974483,0.18306601531302485,-0.059153762792340636
93,93,"(3, 2, 2, 1, 1, 1, 1, 1)",12,0.7853981633974482,0.1999903700841692,-0.11491054978272697
94,94,"(3, 2, 1, 1, 1, 1, 1, 1, 1)",12,0.7853981633974482,0.23520746185167596,-0.20430037117758104
95,95,"(10, 2, 1)",13,0.7853981633974483,0.23594164949540758,0.2312790799484909
96,96,"(9, 3, 1)",13,0.7853981633974483,0.26754410837830106,0.19550593551119216
97,97,"(9, 2, 1, 1)",13,0.7853981633974482,0.2755426647258412,-0.23740242723163885
98,98,"(8, 4, 1)",13,0.7853981633974483,0.2632549049860346,0.17972702895839138
99,99,"(8, 3, 2)",13,0.7853981633974483,0.2797540721067171,0.15921409920485974
100,100,"(8, 3, 1, 1)",13,0.7853981633974483,0.3145105685614311,0.20864208963058495
101,101,"(8, 2, 2, 1)",13,0.7853981633974483,0.2137395666424462,0.167816160521439
102,102,"(8, 2, 1, 1, 1)",13,0.7853981633974482,0.2902699503879589,-0.23678779113358228
103,103,"(7, 5, 1)",13,0.7853981633974483,0.21282733916792868,0.16597292395661212
104,104,"(7, 4, 2)",13,0.7853981633974483,0.22833319260331314,0.15686394323079766
105,105,"(7, 4, 1, 1)",13,0.7853981633974482,0.30505694529789285,-0.19251887368855947
106,106,"(7, 3, 1, 1, 1)",13,0.7853981633974483,0.3293156923148972,0.21482052797238538
107,107,"(7, 2, 2, 1, 1)",13,0.7853981633974483,0.22046888022486577,0.1937983433275905
108,108,"(7, 2, 1, 1, 1, 1)",13,0.7853981633974483,0.2946752397254295,0.23586192148882468
109,109,"(6, 5, 2)",13,0.7853981633974483,0.18900773358183937,0.050461439838233646
110,110,"(6, 5, 1, 1)",13,0.7853981633974482,0.19972338797686273,-0.16673658612591602
111,111,"(6, 4, 3)",13,0.7853981633974483,0.309344364883432,0.05438865853747321
112,112,"(6, 4, 1, 1, 1)",13,0.7853981633974481,0.30146744966018435,-0.19753680152689412
113,113,"(6, 3, 3, 1)",13,0.7853981633974482,0.18181418384605408,-0.1678314158637768
