diagram,size,weyl_a,weyl_b,weyl_c,rank_left,rank_right,min_sv_left,min_sv_right,leaky
"(3, 2, 1)",6,0.7853981633974483,0.2526802551420788,0.08885530042255585,3,3,2.0039024427351744,2.0039024427351753,False
"(4, 2, 1)",7,0.7853981633974483,0.2575328339591234,0.1571025538924138,3,3,2.160780672436904,2.1607806724369043,False
"(3, 2, 1, 1)",7,0.7853981633974483,0.2575328339591234,0.13568254977480887,3,3,2.115194777588504,2.1151947775885036,False
"(5, 2, 1)",8,0.7853981633974483,0.2541626643633199,0.1884872711347354,3,3,2.2206167884024928,2.2206167884024928,False
"(4, 3, 1)",8,0.7853981633974482,0.20470663066097838,-0.11658676461472339,3,3,1.7660411713490458,1.7660411713490456,False
"(4, 2, 1, 1)",8,0.7853981633974482,0.26115741090302436,-0.20185734333026417,3,3,2.285230205451241,2.2852302054512412,False
"(3, 2, 2, 1)",8,0.7853981633974483,0.20470663066097877,-0.031037668390437645,3,3,1.6054377611275625,1.6054377611275625,False
"(3, 2, 1, 1, 1)",8,0.7853981633974483,0.2541626643633199,0.16015194651459197,3,3,2.150562055555858,2.1505620555558584,False
