n,weyl_b,weyl_abs_c
1,0.22637939053570744,0.20888246192213256
11,0.3729131455499122,0.2051867671241876
21,0.39349765124781744,0.19223225693736445
31,0.40366806365361185,0.18443931976302785
41,0.41007753924487034,0.17915216552208246
51,0.41460113793860476,0.17527083399030818
61,0.4180155012268525,0.1722670938750479
71,0.4207110129320837,0.16985367325983614
81,0.42290890969063355,0.16785956950459546
91,0.4247453814960487,0.1661758960112376
101,0.42630953069616684,0.16472962145070014
111,0.427662453135234,0.16346970128193838
121,0.42884763535882975,0.16235924298316462
131,0.4298969881599364,0.16137083198036972
141,0.4308345299115359,0.16048361496387908
151,0.43167873106743926,0.1596814098903776
161,0.4324440597431076,0.1589514413347919
171,0.4331420315427721,0.15828347056448955
181,0.4337819412941073,0.15766918256284512
191,0.4343713846883208,0.1571017448813823
201,0.4349166375969844,0.15657548415609668
211,0.4354229367960558,0.15608564491221522
221,0.43589469101918077,0.15562820701093472
231,0.4363356418934883,0.15519974560024608
241,0.43674898824030794,0.15479732234822308
251,0.4371374832041335,0.15441840002230833
261,0.4375035109602452,0.15406077471423973
271,0.43784914788754836,0.15372252155818966
281,0.43817621179196387,0.15340195087789255
291,0.4384863018436951,0.15309757247437616
301,0.43878083122955047,0.1528080663264495
311,0.4390610540399109,0.1525322583859019
321,0.43932808755560426,0.15226910045239261
331,0.4395829308364547,0.15201765333943484
341,0.4398264803152889,0.1517770727136991
351,0.4400595429511016,0.15154659711991147
361,0.4402828473802156,0.15132553780352165
371,0.4404970534157222,0.15111327002059927
381,0.4407027601766398,0.15090922558472197
391,0.44090051307432443,0.15071288644798742
401,0.4410908098411612,0.1505237791507179
411,0.4412741057528553,0.1503414700042347
421,0.44145081816871823,0.15016556089495658
431,0.4416213304927128,0.14999568561724974
441,0.4417859956405783,0.14983150665805045
451,0.4419451390841713,0.149672712368913
461,0.44209906153260103,0.14951901447148508
471,0.4422480413002585,0.1493701458509218
481,0.4423923364040272,0.1492258585987587
491,0.4425321864255265,0.14908592227258843
501,0.4426678141688569,0.14895012234469895
511,0.4427994271398443,0.14881825881590238
521,0.4429272188690714,0.14869014497416533
531,0.44305137009779827,0.14856560628047166
541,0.4431720498432492,0.1484444793668125
551,0.44328941635750674,0.1483266111331858
561,0.4434036179923231,0.14821185793225755
571,0.44351479398057947,0.14810008483178994
581,0.443623075143706,0.1479911649462302
591,0.44372858453321484,0.14788497882991436
601,0.4438314380134729,0.1477814139252871
611,0.4439317447919624,0.1476803640603377
621,0.44402960790253854,0.14758172899014088
631,0.4441251246465141,0.1474854139780124
641,0.4442183869958667,0.14739132941227684
651,0.4443094819623319,0.1472993904551405
661,0.4443984919357584,0.1472095167205305
671,0.44448549499469525,0.14712163197811634
681,0.44457056519185745,0.14703566388103528
691,0.4446537728168485,0.1469515437151152
701,0.44473518463824213,0.146869206167616
711,0.4448148641269061,0.14678858911370707
721,0.444892871662276,0.14670963341911403
731,0.4449692647230812,0.14663228275749596
741,0.445044098063895,0.1465564834412696
751,0.4451174238787381,0.14648218426473036
761,0.4451892919528353,0.14640933635842757
771,0.44525974980353844,0.14633789305384948
781,0.4453288428113016,0.1462678097575676
791,0.4453966143415373,0.14619904383406457
801,0.4454631058580949,0.14613155449655757
811,0.44552835702902627,0.14606530270516505
821,0.4455924058252583,0.14600025107184766
831,0.44565528861271986,0.14593636377160735
841,0.44571704023843495,0.14587360645943726
851,0.4457776941110474,0.14581194619261595
861,0.445837282276182,0.14575135135792472
871,0.44589583548704415,0.14569179160343282
881,0.4459533832706093,0.14563323777451131
891,0.44600995398971044,0.1455756618537718
901,0.44606557490132914,0.1455190369046493
