index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta
0,0,"(3, 2, 1)",1,0,0.18058521452613507,3.706352660385375,6.283185306350411,-0.8447170722567263,-0.5352131050693963,1.0,-8.291751958519664e-10,0.9837387536156832,0.17960530235675723
1,0,"(3, 2, 1)",1,1,10.106987521381372,2.928406977752084,6.011199187378095,-0.9773618673972176,0.21157452624979095,0.9632392352467459,-0.2686450738079225,-0.7761814654667698,-0.6305095817399269
2,0,"(3, 2, 1)",3,0,4.045278622399837,4.095989961920225,5.718425300815467,-0.578100638419433,-0.8159654722223508,0.8447170724876504,-0.535213104704933,-0.6187184335462234,-0.7856128181172375
3,0,"(3, 2, 1)",3,1,4.86968682515694,6.472389044839585,-0.12903552139644656,0.9821543050151434,0.18807690219753334,0.9916864618674414,-0.12867774224331058,0.15664998685388448,-0.9876541811882729
4,0,"(3, 2, 1)",5,0,2.3400626592847384,3.141592653960129,5.3287879985755735,-1.0,-3.70335639591904e-10,0.5781006381962,-0.8159654723805084,-0.6956083435874607,0.718421208158215
5,0,"(3, 2, 1)",5,1,2.6807403839267967,3.3654413032471493,0.20115493001577486,-0.9750503345015048,-0.22198388497479615,0.979836475081534,0.1998011063527787,-0.8956738086378891,0.44471162399930364
