index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,6.463770519469897,3.559839648603684,6.113087140942333e-09,-0.9138023430806695,-0.4061591778850729,1.0,6.113087140942333e-09,0.9837387540172492,0.17960530015728965,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,1.6306467888003884,2.236155046670711,1.617700159357669,-0.6173413757119015,0.7866953831275082,-0.04688663662082592,0.9989002168917507,-0.05981473690269605,0.9982094956717559,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,0.9036859693425295,6.334032633345389,2.723345652449791,0.9987075532100039,0.05082541845658676,-0.9138023405924932,0.40615918348312785,0.6187184331278959,0.7856128184466961,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,2.6530716104802705,1.7307571951765668,3.104892905046092,-0.1592795746910173,0.9872335169990172,-0.9993266398109776,0.03669151079065489,-0.8830279287874244,0.4693204416828563,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,5.481655313059742,3.14159265234045,3.0907453279433854,-1.0,1.2493434179487754e-09,-0.9987075532364024,0.05082541793786322,0.6956083437205194,-0.7184212080293814,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,4.26912356505824,4.944312388324496,2.074145574237663,0.22984985835427604,-0.9732261004589423,-0.4823620852947859,0.8759719280148569,-0.42889157888242246,-0.9033559727835659,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,-0.3265739923670988,-2.116226589553336,3.141592656032348,-0.5187859719337692,-0.8549041556366037,-1.0,-2.4425549246460928e-09,0.9471469631513149,-0.32079998471515214,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,2.3360406882329214,0.5419865340608426,3.8571502863788556,0.8566856409813959,0.5158388435706397,-0.7547275300621169,-0.6560383794918835,-0.692713255915314,0.7212131065636597,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,2.2188433673975116,4.858530873624865,-1.025366066137848,0.14562224536671664,-0.9893402658612231,0.5187859701372813,-0.8549041567267759,-0.6036305332834914,0.7972641841246149,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,-2.052812906673725,2.8503445681727824,1.5283497577998837,-0.957886236466848,0.28714797228498373,0.042433824066603565,0.9990992796389578,-0.46356693150907746,-0.8860619052928854,0.7853981633974483,0.2575328339591237,0.1571025538924139
10,1,"(4, 2, 1)",5,0,4.00746466593757,6.283185306348549,7.707839740342391,1.0,-8.310377059980775e-10,0.14562224575445612,0.9893402658041514,-0.6479761846882204,-0.7616605963793173,0.7853981633974483,0.2575328339591237,0.1571025538924139
11,1,"(4, 2, 1)",5,1,4.680706168684279,4.735198334617288,5.336526441386416,0.02280737645969763,-0.9997398779577744,0.5843975680620344,-0.8114674869908097,-0.03167751142909883,-0.999498141703955,0.7853981633974483,0.2575328339591237,0.1571025538924139
12,2,"(3, 2, 1, 1)",1,0,3.427309507136765,3.7309027692182593,6.28318532510551,-0.8313243061052245,-0.5557876375727216,0.9999999999999999,1.7925923611480648e-08,-0.9594598573834661,-0.2818453158555221,0.7853981633974482,0.2575328339591234,-0.13568254977480887
13,2,"(3, 2, 1, 1)",1,1,-1.565114112555232,2.2552600001846637,4.707751961207235,-0.6322575790008695,0.7747582550679658,-0.004637002559983025,-0.9999892490458379,0.00568218366224313,-0.9999838562641041,0.7853981633974482,0.2575328339591234,-0.13568254977480887
14,2,"(3, 2, 1, 1)",3,0,4.0348419085695095,5.524315606557674,5.693875214708017,0.725614235039315,-0.6881017235179038,0.831324318975541,-0.5557876183218307,-0.6268838042157806,-0.7791127620646134,0.7853981633974482,0.2575328339591234,-0.13568254977480887
15,2,"(3, 2, 1, 1)",3,1,3.1249527704935645,-1.138240343943943,3.8883089598252005,0.41919273904996923,-0.9078972670560168,-0.7339232130303416,-0.6792324472338023,-0.9998615603396465,0.016639115215886884,0.7853981633974482,0.2575328339591234,-0.13568254977480887
16,2,"(3, 2, 1, 1)",5,0,0.7954639350556949,6.283185314283864,3.900462373248704,1.0,7.10427780979655e-09,-0.7256142219399235,-0.6881017373314207,0.6999535043384539,0.71418841475084,0.7853981633974482,0.2575328339591234,-0.13568254977480887
17,2,"(3, 2, 1, 1)",5,1,-1.5584989933412714,1.57449267961612,1.2787972903077358,-0.0036963444040028527,0.9999931684956888,0.2878672169464158,0.9576703323208489,0.012297023513135932,-0.999924388747828,0.7853981633974482,0.2575328339591234,-0.13568254977480887
18,3,"(5, 2, 1)",1,0,4.712388981012049,1.3449499117075565,1.5707963270248346,0.2239313625537438,0.9746049173202563,-2.2993800735317128e-10,1.0,6.273593139876454e-10,-1.0,0.7853981633974483,0.25416266436331997,0.18848727113473546
19,3,"(5, 2, 1)",1,1,2.4121235335157767,1.5707963278949137,3.141592653949012,-1.1000171272166474e-09,1.0,-1.0,-3.5921875440172737e-10,-0.7455283250231614,0.6664739429176204,0.7853981633974483,0.25416266436331997,0.18848727113473546
20,3,"(5, 2, 1)",3,0,1.8911002197997624,8.025375949386477,-0.17243461120281145,-0.17055640019706816,0.9853479153841133,0.9851699531316312,-0.17158136101167734,-0.31485501208994227,0.9491397796751764,0.7853981633974483,0.25416266436331997,0.18848727113473546
21,3,"(5, 2, 1)",3,1,7.433739264662251,0.5082967269909591,5.444338592935359,0.8735747403957125,0.4866900173031737,0.6683211680688951,-0.7438728495590008,0.4079817458193611,0.912990084873974,0.7853981633974483,0.25416266436331997,0.18848727113473546
