kind,partition,n,k,giv_gates,giv_depth,cs_gates,cs_depth
random,"(30, 21, 5)",56,4,6,5,6,3
random,"(8, 5, 3, 2, 1)",19,6,15,9,15,7
random,"(20,)",20,2,1,1,1,1
random,"(22, 10)",32,3,3,3,3,3
random,"(28, 17, 6, 2, 1, 1, 1)",56,6,15,9,15,7
random,"(33, 8, 6, 2, 1, 1)",51,6,15,9,15,7
random,"(37, 4, 2, 2)",45,4,6,5,6,3
random,"(41, 4, 1, 1, 1)",48,4,6,5,6,3
random,"(15, 2, 1)",18,4,6,5,6,3
random,"(8, 8, 7, 5, 1)",29,5,10,7,10,7
random,"(35, 2)",37,3,3,3,3,3
random,"(28, 6, 5, 3, 3, 1)",46,6,15,9,15,7
random,"(15, 8, 4)",27,4,6,5,6,3
random,"(18, 15, 11, 3, 3, 2, 1)",53,7,21,11,21,11
random,"(39, 6, 1)",46,4,6,5,6,3
random,"(45, 7, 3, 2, 1)",58,6,15,9,15,7
random,"(13, 4, 4, 1, 1)",23,4,6,5,6,3
random,"(19, 1)",20,3,3,3,3,3
random,"(10,)",10,2,1,1,1,1
random,"(34, 6, 5, 4, 3, 2, 1, 1)",56,8,28,13,28,7
random,"(3, 1, 1)",5,3,3,3,3,3
random,"(3, 2)",5,3,3,3,3,3
random,"(22, 9, 1)",32,4,6,5,6,3
random,"(21, 2, 2)",25,3,3,3,3,3
random,"(23, 8)",31,3,3,3,3,3
random,"(11, 1)",12,3,3,3,3,3
random,"(6, 4, 3, 2)",15,5,10,7,10,7
random,"(24, 12, 10, 8, 2, 1)",57,7,21,11,21,11
random,"(29, 1, 1, 1)",32,3,3,3,3,3
random,"(24, 17, 6, 3, 1)",51,6,15,9,15,7
random,"(31, 6, 5)",42,4,6,5,6,3
random,"(45, 3, 1)",49,4,6,5,6,3
random,"(30, 11, 4, 2)",47,5,10,7,10,7
random,"(32, 7, 4, 1, 1)",45,5,10,7,10,7
random,"(31, 1)",32,3,3,3,3,3
random,"(44, 4, 4)",52,3,3,3,3,3
random,"(17, 5, 1, 1)",24,4,6,5,6,3
random,"(6, 3, 3, 2, 1, 1, 1)",17,5,10,7,10,7
random,"(10, 9, 7, 6, 3, 2)",37,7,21,11,21,11
random,"(10, 5, 3, 2, 1)",21,6,15,9,15,7
random,"(8, 5, 2)",15,4,6,5,6,3
random,"(38, 3)",41,3,3,3,3,3
random,"(24, 2, 2, 2)",30,3,3,3,3,3
random,"(50, 4, 3, 1)",58,5,10,7,10,7
random,"(11, 2)",13,3,3,3,3,3
random,"(26, 5, 1, 1)",33,4,6,5,6,3
random,"(12, 4, 1, 1, 1)",19,4,6,5,6,3
random,"(26, 6, 5)",37,4,6,5,6,3
random,"(46, 8, 2)",56,4,6,5,6,3
random,"(22, 10, 4, 2, 1)",39,6,15,9,15,7
random,"(4, 2)",6,3,3,3,3,3
random,"(36, 7, 1)",44,4,6,5,6,3
random,"(39, 10, 4, 3, 1, 1)",58,6,15,9,15,7
random,"(48,)",48,2,1,1,1,1
random,"(45, 3)",48,3,3,3,3,3
random,"(4, 2, 1)",7,4,6,5,6,3
random,"(16, 9, 4, 2, 2, 1, 1, 1)",36,6,15,9,15,7
random,"(14, 11, 3, 2)",30,5,10,7,10,7
random,"(44, 3)",47,3,3,3,3,3
random,"(16, 8, 4, 3, 1)",32,6,15,9,15,7
random,"(35, 7, 6, 2, 1)",51,6,15,9,15,7
random,"(24, 19, 1)",44,4,6,5,6,3
random,"(25, 10, 9, 2, 1)",47,6,15,9,15,7
random,"(41, 4)",45,3,3,3,3,3
random,"(30, 9, 5, 1, 1)",46,5,10,7,10,7
random,"(12, 11, 7, 3)",33,5,10,7,10,7
random,"(15, 15, 2, 1, 1)",34,4,6,5,6,3
random,"(21, 16, 8)",45,4,6,5,6,3
random,"(29, 21, 5, 1, 1)",57,5,10,7,10,7
random,"(4, 4, 2)",10,3,3,3,3,3
random,"(49, 1, 1)",51,3,3,3,3,3
random,"(5, 3)",8,3,3,3,3,3
random,"(34, 7, 5, 3, 2, 1, 1)",53,7,21,11,21,11
random,"(23, 8, 6, 2, 2, 1)",42,6,15,9,15,7
random,"(19, 8)",27,3,3,3,3,3
random,"(10, 9, 4, 3, 2, 1)",29,7,21,11,21,11
random,"(36, 5, 2, 1, 1)",45,5,10,7,10,7
random,"(51, 5, 3, 1)",60,5,10,7,10,7
random,"(15, 3)",18,3,3,3,3,3
random,"(2, 1, 1)",4,3,3,3,3,3
random,"(39, 11, 4, 3, 2, 1)",60,7,21,11,21,11
random,"(5, 2)",7,3,3,3,3,3
random,"(13, 13, 11, 9, 3, 2, 1)",52,7,21,11,21,11
random,"(38, 6, 2, 1)",47,5,10,7,10,7
random,"(13, 6)",19,3,3,3,3,3
random,"(37,)",37,2,1,1,1,1
random,"(48, 1)",49,3,3,3,3,3
random,"(10, 5, 1)",16,4,6,5,6,3
random,"(55, 3, 1)",59,4,6,5,6,3
random,"(36, 13, 2)",51,4,6,5,6,3
random,"(12, 5, 3, 2, 2, 2, 2)",28,5,10,7,10,7
random,"(25, 5, 2, 1)",33,5,10,7,10,7
random,"(19, 5, 3, 1)",28,5,10,7,10,7
random,"(1, 1, 1, 1, 1)",5,2,1,1,1,1
random,"(23, 20)",43,3,3,3,3,3
random,"(29, 9, 4, 1, 1, 1, 1)",46,5,10,7,10,7
random,"(21, 4, 2, 1, 1)",29,5,10,7,10,7
random,"(7, 5)",12,3,3,3,3,3
random,"(17, 11, 7, 1)",36,5,10,7,10,7
random,"(11, 6)",17,3,3,3,3,3
random,"(16, 12, 4, 3)",35,5,10,7,10,7
random,"(10, 10, 8, 3, 2)",33,5,10,7,10,7
random,"(12, 3, 2)",17,4,6,5,6,3
random,"(5, 3, 2, 1)",11,5,10,7,10,7
random,"(23, 17, 1, 1)",42,4,6,5,6,3
random,"(7, 2)",9,3,3,3,3,3
random,"(9,)",9,2,1,1,1,1
random,"(7, 5, 2, 2, 2)",18,4,6,5,6,3
random,"(16, 14, 8)",38,4,6,5,6,3
random,"(11, 9, 4, 1, 1)",26,5,10,7,10,7
random,"(34, 14, 6, 3)",57,5,10,7,10,7
random,"(15, 5, 3, 3, 2, 1, 1)",30,6,15,9,15,7
random,"(21, 10, 3, 1)",35,5,10,7,10,7
random,"(24, 11, 4, 1)",40,5,10,7,10,7
random,"(12, 5, 2, 1)",20,5,10,7,10,7
random,"(12, 8, 7, 5, 2)",34,6,15,9,15,7
random,"(23,)",23,2,1,1,1,1
random,"(26, 5, 1)",32,4,6,5,6,3
random,"(31, 2, 1)",34,4,6,5,6,3
random,"(27, 19, 4, 1, 1)",52,5,10,7,10,7
random,"(13, 13, 12, 10, 1)",49,5,10,7,10,7
random,"(12, 7, 2, 1, 1, 1)",24,5,10,7,10,7
random,"(42, 3, 2, 1, 1, 1, 1)",51,5,10,7,10,7
random,"(18, 6, 3, 2, 1)",30,6,15,9,15,7
random,"(25, 24, 4, 1, 1)",55,5,10,7,10,7
random,"(22, 13, 12, 2, 1, 1, 1)",52,6,15,9,15,7
random,"(19, 7, 6, 5, 4)",41,6,15,9,15,7
random,"(6,)",6,2,1,1,1,1
random,"(22, 3, 2, 1)",28,5,10,7,10,7
random,"(25, 8, 7, 1, 1)",42,5,10,7,10,7
random,"(36, 9, 7, 2, 1, 1)",56,6,15,9,15,7
random,"(15, 10, 3, 2, 1, 1)",32,6,15,9,15,7
random,"(47, 4)",51,3,3,3,3,3
random,"(33, 16, 6, 3)",58,5,10,7,10,7
random,"(40, 9, 4, 4, 3)",60,5,10,7,10,7
random,"(12, 9, 2, 2)",25,4,6,5,6,3
random,"(27, 1, 1)",29,3,3,3,3,3
random,"(11, 4, 4, 1)",20,4,6,5,6,3
random,"(35, 5, 4, 3, 3, 3, 2, 2)",57,6,15,9,15,7
random,"(27, 5, 1, 1, 1, 1)",36,4,6,5,6,3
random,"(14, 2)",16,3,3,3,3,3
random,"(34, 11, 5, 1, 1)",52,5,10,7,10,7
random,"(33, 7, 1)",41,4,6,5,6,3
random,"(26, 4, 4, 3, 1)",38,5,10,7,10,7
random,"(30, 2, 1)",33,4,6,5,6,3
random,"(48, 3, 3, 2)",56,4,6,5,6,3
random,"(33, 12, 1, 1)",47,4,6,5,6,3
random,"(16, 14, 1)",31,4,6,5,6,3
random,"(12, 6, 1)",19,4,6,5,6,3
random,"(9, 9, 3, 3)",24,3,3,3,3,3
random,"(18, 7, 5, 2, 1)",33,6,15,9,15,7
random,"(36, 13, 3, 1, 1, 1, 1)",56,5,10,7,10,7
random,"(7, 5, 4, 3, 1)",20,6,15,9,15,7
random,"(19, 10, 5, 4, 2, 2)",42,6,15,9,15,7
