kind,partition,n,k,giv_gates,giv_depth,cs_gates,cs_depth
random,"(9, 8, 5, 4, 2, 1)",29,7,21,11,21,11
random,"(10, 4)",14,3,3,3,3,3
random,"(39, 7, 4, 2, 2, 1, 1, 1, 1)",58,6,15,9,15,7
random,"(19, 19, 8, 4)",50,4,6,5,6,3
random,"(44, 8)",52,3,3,3,3,3
random,"(16, 15, 8, 1)",40,5,10,7,10,7
random,"(18, 5, 2)",25,4,6,5,6,3
random,"(57, 2)",59,3,3,3,3,3
random,"(14, 6, 3, 2, 2, 1)",28,6,15,9,15,7
random,"(22, 17, 11, 4, 2, 1)",57,7,21,11,21,11
random,"(17, 14, 2, 1)",34,5,10,7,10,7
random,"(20, 12, 9, 1, 1)",43,5,10,7,10,7
random,"(14, 12, 7, 2, 1, 1)",37,6,15,9,15,7
random,"(15, 7, 3, 1)",26,5,10,7,10,7
random,"(13, 4, 3, 2)",22,5,10,7,10,7
random,"(8, 3, 2, 2, 1, 1)",17,5,10,7,10,7
random,"(23, 9, 3)",35,4,6,5,6,3
random,"(9, 5)",14,3,3,3,3,3
random,"(31, 13, 2, 1)",47,5,10,7,10,7
random,"(23, 21, 6, 2, 2)",54,5,10,7,10,7
random,"(28, 10, 7, 4, 4, 2, 1, 1)",57,7,21,11,21,11
random,"(7, 4, 1, 1)",13,4,6,5,6,3
random,"(13, 1)",14,3,3,3,3,3
random,"(3, 1, 1, 1, 1)",7,3,3,3,3,3
random,"(13, 6, 6, 4, 3)",32,5,10,7,10,7
random,"(4, 3, 2, 1, 1, 1)",12,5,10,7,10,7
random,"(12, 9, 7, 4)",32,5,10,7,10,7
random,"(16, 14, 5, 3)",38,5,10,7,10,7
random,"(29, 5, 3, 2, 1, 1, 1, 1)",43,6,15,9,15,7
random,"(15, 5, 4, 2)",26,5,10,7,10,7
random,"(34, 5, 5, 2)",46,4,6,5,6,3
random,"(9, 6, 4, 3, 3, 2, 1)",28,7,21,11,21,11
random,"(46, 2, 1)",49,4,6,5,6,3
random,"(20, 20, 11, 4, 2, 2)",59,5,10,7,10,7
random,"(29, 23, 3, 3)",58,4,6,5,6,3
random,"(17, 11, 3, 2, 1, 1, 1)",36,6,15,9,15,7
random,"(42, 9, 7, 1)",59,5,10,7,10,7
random,"(16, 13, 3, 2, 1, 1)",36,6,15,9,15,7
random,"(32, 10, 7)",49,4,6,5,6,3
random,"(46, 3)",49,3,3,3,3,3
random,"(20, 2, 1, 1, 1)",25,4,6,5,6,3
random,"(34, 10, 7, 4, 3, 1)",59,7,21,11,21,11
random,"(8, 7, 2, 2, 1, 1, 1)",22,5,10,7,10,7
random,"(21, 2, 1)",24,4,6,5,6,3
random,"(27, 7, 1)",35,4,6,5,6,3
random,"(13, 10, 9, 1)",33,5,10,7,10,7
random,"(55, 2, 1, 1)",59,4,6,5,6,3
random,"(6, 2)",8,3,3,3,3,3
random,"(49, 4, 3, 1)",57,5,10,7,10,7
random,"(33, 23)",56,3,3,3,3,3
random,"(4,)",4,2,1,1,1,1
random,"(39, 2, 1)",42,4,6,5,6,3
random,"(8, 3, 2, 2, 1)",16,5,10,7,10,7
random,"(45, 2, 1)",48,4,6,5,6,3
random,"(53,)",53,2,1,1,1,1
random,"(5, 5, 1)",11,3,3,3,3,3
random,"(16,)",16,2,1,1,1,1
random,"(42, 6)",48,3,3,3,3,3
random,"(36, 1)",37,3,3,3,3,3
random,"(31, 9, 5, 4, 2, 2)",53,6,15,9,15,7
random,"(15, 7, 4, 4, 1)",31,5,10,7,10,7
random,"(44, 10, 5)",59,4,6,5,6,3
random,"(26, 1)",27,3,3,3,3,3
random,"(9, 7, 3, 2, 2)",23,5,10,7,10,7
random,"(31, 11, 3, 2, 1)",48,6,15,9,15,7
random,"(14, 5)",19,3,3,3,3,3
random,"(17, 7, 4, 3, 1)",32,6,15,9,15,7
random,"(19, 8, 6, 1, 1, 1)",36,5,10,7,10,7
random,"(30, 9, 3, 3, 2, 1)",48,6,15,9,15,7
random,"(30, 1, 1)",32,3,3,3,3,3
random,"(14, 4, 4, 2, 2, 1, 1)",28,5,10,7,10,7
random,"(6, 5, 2)",13,4,6,5,6,3
random,"(26,)",26,2,1,1,1,1
random,"(9, 4, 2, 1)",16,5,10,7,10,7
random,"(53, 7)",60,3,3,3,3,3
random,"(15, 11, 5, 3, 2, 1, 1, 1)",39,7,21,11,21,11
random,"(20, 13)",33,3,3,3,3,3
random,"(29, 1)",30,3,3,3,3,3
random,"(22, 8, 5, 2, 2, 1)",40,6,15,9,15,7
random,"(22, 20, 10, 2, 1)",55,6,15,9,15,7
random,"(39, 7)",46,3,3,3,3,3
random,"(3, 3, 1, 1)",8,3,3,3,3,3
random,"(35, 9, 7, 5, 1)",57,6,15,9,15,7
random,"(31, 16, 3, 3)",53,4,6,5,6,3
random,"(28,)",28,2,1,1,1,1
random,"(11, 6, 1, 1)",19,4,6,5,6,3
random,"(17, 10, 5)",32,4,6,5,6,3
random,"(42, 7, 1)",50,4,6,5,6,3
random,"(33, 3, 2)",38,4,6,5,6,3
random,"(31, 5, 2)",38,4,6,5,6,3
random,"(11, 4, 3, 1)",19,5,10,7,10,7
random,"(53, 3, 2)",58,4,6,5,6,3
random,"(20, 6, 1)",27,4,6,5,6,3
random,"(14, 8, 7, 1)",30,5,10,7,10,7
random,"(7, 7, 4, 2, 2, 1, 1)",24,5,10,7,10,7
random,"(20, 18, 5, 1)",44,5,10,7,10,7
random,"(32, 7, 6, 2, 2, 1, 1)",51,6,15,9,15,7
random,"(15, 13, 11, 8, 3)",50,6,15,9,15,7
random,"(52, 1)",53,3,3,3,3,3
random,"(18, 9, 8, 7, 6, 5, 4)",57,8,28,13,28,7
random,"(10, 5, 2)",17,4,6,5,6,3
random,"(20, 15, 10, 3)",48,5,10,7,10,7
random,"(25, 12, 1)",38,4,6,5,6,3
random,"(37, 1)",38,3,3,3,3,3
random,"(4, 2, 1, 1, 1)",9,4,6,5,6,3
random,"(7, 4, 3, 1)",15,5,10,7,10,7
random,"(49, 4, 2, 2)",57,4,6,5,6,3
random,"(5, 2, 1, 1)",9,4,6,5,6,3
random,"(14, 13, 5, 3, 2, 1)",38,7,21,11,21,11
random,"(12, 3)",15,3,3,3,3,3
random,"(33, 12, 10)",55,4,6,5,6,3
random,"(32, 9, 3, 1, 1, 1)",47,5,10,7,10,7
random,"(18, 8, 6, 1)",33,5,10,7,10,7
random,"(28, 1, 1)",30,3,3,3,3,3
random,"(41, 9, 4, 2, 2, 1)",59,6,15,9,15,7
random,"(24, 9, 5, 1)",39,5,10,7,10,7
random,"(33, 7, 3, 1)",44,5,10,7,10,7
random,"(29, 12, 3)",44,4,6,5,6,3
random,"(24, 15, 11, 4, 1)",55,6,15,9,15,7
random,"(30, 6, 4, 4, 2, 1)",47,6,15,9,15,7
random,"(32, 14, 1)",47,4,6,5,6,3
random,"(41, 7, 6, 2, 2)",58,5,10,7,10,7
random,"(19, 16, 10, 2, 1, 1)",49,6,15,9,15,7
random,"(16, 6, 3, 3, 1)",29,5,10,7,10,7
random,"(8, 4, 3, 3, 3, 1)",22,5,10,7,10,7
random,"(40, 6, 4, 2, 1, 1)",54,6,15,9,15,7
random,"(12, 10, 8, 6, 4, 4, 3, 1, 1)",49,8,28,13,28,7
random,"(40, 11, 2, 1)",54,5,10,7,10,7
random,"(32, 9, 5, 4, 1)",51,6,15,9,15,7
random,"(25, 2, 1, 1, 1)",30,4,6,5,6,3
random,"(5, 5, 4, 1, 1)",16,4,6,5,6,3
random,"(29, 4, 1)",34,4,6,5,6,3
random,"(4, 3, 1, 1, 1)",10,4,6,5,6,3
random,"(28, 15, 4, 1)",48,5,10,7,10,7
random,"(7, 4, 3)",14,4,6,5,6,3
random,"(5, 5, 3, 1, 1, 1, 1, 1)",18,4,6,5,6,3
random,"(10, 9, 2, 1)",22,5,10,7,10,7
random,"(12, 9, 6, 6, 5, 3, 2, 2, 1)",46,8,28,13,28,7
random,"(17, 1, 1)",19,3,3,3,3,3
random,"(23, 15, 13, 3, 1)",55,6,15,9,15,7
random,"(12, 7, 3, 1)",23,5,10,7,10,7
random,"(18, 6, 5)",29,4,6,5,6,3
random,"(47, 3, 1)",51,4,6,5,6,3
random,"(18, 14, 13, 2, 1)",48,6,15,9,15,7
random,"(15, 8, 4, 2, 1)",30,6,15,9,15,7
random,"(16, 10, 2)",28,4,6,5,6,3
random,"(33, 6)",39,3,3,3,3,3
random,"(41, 11)",52,3,3,3,3,3
random,"(36, 4, 1)",41,4,6,5,6,3
random,"(4, 3, 3, 1)",11,4,6,5,6,3
random,"(37, 1, 1)",39,3,3,3,3,3
random,"(22,)",22,2,1,1,1,1
random,"(21, 4, 2, 2, 2, 2, 1)",34,5,10,7,10,7
random,"(45, 6, 6, 1)",58,4,6,5,6,3
random,"(25, 8, 4, 2, 2)",41,5,10,7,10,7
random,"(40, 16, 3)",59,4,6,5,6,3
random,"(19, 12, 9, 7)",47,5,10,7,10,7
random,"(22, 21, 7)",50,4,6,5,6,3
random,"(11, 7)",18,3,3,3,3,3
random,"(13, 11, 10, 1)",35,5,10,7,10,7
random,"(19, 4, 3, 1)",27,5,10,7,10,7
random,"(29, 14, 3, 1)",47,5,10,7,10,7
random,"(18, 6)",24,3,3,3,3,3
random,"(28, 11, 7, 3, 1, 1)",51,6,15,9,15,7
random,"(28, 11, 9, 3, 2, 1)",54,7,21,11,21,11
random,"(37, 7, 1)",45,4,6,5,6,3
random,"(15, 8, 6, 5, 4, 3, 2, 2, 1)",46,9,36,15,36,15
random,"(13, 11, 3)",27,4,6,5,6,3
random,"(22, 9, 2)",33,4,6,5,6,3
random,"(5, 4, 1, 1)",11,4,6,5,6,3
random,"(15, 1)",16,3,3,3,3,3
random,"(31, 10, 4)",45,4,6,5,6,3
random,"(4, 3, 2, 2, 1, 1)",13,5,10,7,10,7
random,"(12, 4, 2, 1)",19,5,10,7,10,7
random,"(27, 4, 1, 1)",33,4,6,5,6,3
random,"(11, 8, 6, 5, 4, 2, 1)",37,8,28,13,28,7
random,"(18, 13, 1)",32,4,6,5,6,3
random,"(7, 7, 1)",15,3,3,3,3,3
random,"(16, 9, 6, 3, 2, 2, 1)",39,7,21,11,21,11
random,"(22, 2, 1, 1, 1)",27,4,6,5,6,3
random,"(35, 18, 2, 1)",56,5,10,7,10,7
random,"(29, 9, 8, 3, 2, 2)",53,6,15,9,15,7
random,"(22, 5, 5, 4, 1)",37,5,10,7,10,7
random,"(23, 2, 2, 1)",28,4,6,5,6,3
random,"(45, 12, 1, 1, 1)",60,4,6,5,6,3
random,"(29, 6, 5, 5, 1)",46,5,10,7,10,7
random,"(6, 5, 4, 1)",16,5,10,7,10,7
random,"(16, 9, 6)",31,4,6,5,6,3
random,"(21, 4)",25,3,3,3,3,3
random,"(53, 4, 1)",58,4,6,5,6,3
random,"(13, 3)",16,3,3,3,3,3
random,"(13, 3, 2, 1)",19,5,10,7,10,7
random,"(20, 14, 10, 3, 2)",49,6,15,9,15,7
random,"(46, 3, 1)",50,4,6,5,6,3
random,"(9, 7, 6, 2, 1)",25,6,15,9,15,7
random,"(26, 3)",29,3,3,3,3,3
random,"(8, 3, 2, 2)",15,4,6,5,6,3
random,"(18, 14, 12, 6, 2, 1)",53,7,21,11,21,11
random,"(15, 9)",24,3,3,3,3,3
random,"(11, 5, 1, 1, 1)",19,4,6,5,6,3
random,"(10, 2, 2, 1)",15,4,6,5,6,3
random,"(48, 9)",57,3,3,3,3,3
random,"(17, 15, 8, 2, 1, 1)",44,6,15,9,15,7
random,"(44, 5, 1)",50,4,6,5,6,3
