n,weyl_b,weyl_abs_c
3,0.22637939053570744,0.20888246192213256
13,0.11267664352539075,0.1030600602480014
23,0.088539430970142,0.0739834697959445
33,0.0757696196704723,0.0600956434027351
43,0.06746125137570275,0.05167920279122118
53,0.06147540915269584,0.045919545155764574
63,0.05688755213354735,0.04167524363690589
73,0.05322091625365499,0.03838767122815856
83,0.050200421167136244,0.03574807343003883
93,0.04765437366822828,0.03357054362580847
103,0.04546916595367123,0.03173577533240213
113,0.043566146838783015,0.030163326502991694
123,0.041888862691039364,0.028796778130595335
133,0.04039557715595277,0.02759526423164349
143,0.03905466441520761,0.026528379175648098
153,0.03784165426185998,0.025572980661908495
163,0.036737270657144605,0.02471110849889957
173,0.035726091099723245,0.023928587090023434
183,0.03479560684945121,0.02321406153778849
193,0.03393554943646171,0.022558317090695112
203,0.033137398516965844,0.02195378864088493
213,0.032394015974269164,0.021394200674706987
223,0.03169936964177761,0.020874298626169185
233,0.031048321773956444,0.020389645461866834
243,0.030436465039754668,0.01993646559798279
253,0.029859993898637027,0.019511523681138954
263,0.029315602666240503,0.01911202940270318
273,0.028800403953858578,0.01873556199711235
283,0.028311862831685297,0.01838000979497867
293,0.027847743250067114,0.01804352141266463
303,0.02740606410642271,0.017724466024343855
313,0.026985062968112705,0.017421400787497987
323,0.026583165921025054,0.017133043950076754
333,0.026198962356360878,0.0168582525058234
343,0.025831183766301447,0.016596003517146407
353,0.025478685815529034,0.016345378415740797
363,0.025140433106156768,0.016105549736486147
373,0.024815486170026213,0.0158757698517622
383,0.024502990313061634,0.01565536135969392
393,0.02420216600754882,0.015443708847232784
403,0.023912300584471136,0.015240251801867721
413,0.023632741022768022,0.015044478487610924
423,0.02336288766817385,0.014855920634190944
433,0.023102188743106322,0.014674148815003285
443,0.022850135532378357,0.014498768410835083
453,0.022606258148459624,0.014329416073718626
463,0.02237012179552389,0.014165756619386016
473,0.02214132346423131,0.014007480288336538
483,0.02191948899970264,0.01385430032500512
493,0.021704270493838274,0.013705950832319402
503,0.021495343960374447,0.013562184865437032
513,0.021292407257109736,0.013422772733793664
523,0.02109517822480783,0.013287500485146708
533,0.020903393016542537,0.013156168549001812
543,0.020716804594852367,0.013028590520037575
553,0.020535181377125733,0.012904592064776566
563,0.02035830601222094,0.01278400993703599
573,0.020185974273547902,0.012666691089611604
583,0.020017994055713584,0.012552491871287152
593,0.019854184463465874,0.012441277299655162
603,0.019694374983054874,0.012332920401453507
613,0.019538404727335312,0.012227301613132013
623,0.019386121746972573,0.012124308235269332
633,0.01923738240101025,0.012023833935217887
643,0.019092050780843695,0.011925778293030653
653,0.01894999818231835,0.011830046386286597
663,0.018811102621271336,0.011736548409939651
673,0.0186752483883455,0.011645199327768196
683,0.018542325639369306,0.011555918552359934
693,0.01841223001798703,0.011468629650910778
703,0.01828486230758014,0.011383260074434354
713,0.018160128109824925,0.011299740908193634
723,0.018037937547512428,0.011218006641430911
733,0.017918204989491926,0.011137994954655284
743,0.017800848795815283,0.011059646522928013
753,0.01768579108135232,0.01098290483374953
763,0.017572957496312158,0.01090771601827889
773,0.01746227702226133,0.010834028694754139
783,0.017353681782358577,0.010761793823081511
793,0.017247106864650252,0.010690964569667116
803,0.017142490157377066,0.010621496181653534
813,0.01703977219533498,0.010553345869792174
823,0.016938896016428118,0.010486472699263949
833,0.016839807027619835,0.010420837487816748
843,0.016742452879563108,0.01035640271065219
853,0.01664678334925418,0.010293132411535844
863,0.016552750230108992,0.010230992119655724
873,0.016460307228912396,0.01016994877179922
883,0.01636940986913804,0.01010997063944874
893,0.016280015400179537,0.010051027260430168
903,0.016192082712068068,0.00999308937479082
913,0.01610557225529119,0.00993612886459072
923,0.016020445965351293,0.009880118697339846
933,0.015936667191742082,0.009825032872809558
943,0.01585420063103493,0.009770846372999742
953,0.015773012263799235,0.009717535115025377
963,0.015693069295100004,0.009665075906741372
973,0.015614340098333235,0.009613446404903137
983,0.015536794162182233,0.009562625075704823
993,0.015460402040489929,0.009512591157534445
1003,0.015385135304861075,0.009463324625794023
1013,0.01531096649981778,0.009414806159669276
1023,0.015237869100350798,0.009367017110691656
1033,0.015165817471713916,0.009319939473013683
1043,0.015094786831322649,0.00927355585526346
1053,0.015024753212630637,0.009227849453894876
1063,0.014955693430860395,0.009182804027931368
1073,0.014887585050479324,0.009138403875020629
1083,0.01482040635431503,0.009094633808729213
1093,0.014754136314214406,0.009051479136983787
1103,0.014688754563155715,0.009008925641613708
1113,0.014624241368728419,0.00896695955890614
1123,0.01456057760790408,0.008925567561135495
1133,0.01449774474302179,0.008884736738993482
1143,0.014435724798923466,0.008844454584883366
1153,0.014374500341169882,0.008804708977015352
1163,0.014314054455281777,0.008765488164265811
1173,0.014254370726946353,0.008726780751756813
1183,0.01419543322313932,0.008688575687112454
1193,0.014137226474108588,0.008650862247357338
1203,0.014079735456179354,0.00861363002642701
1213,0.01402294557533168,0.008576868923237946
1223,0.013966842651511269,0.00854056913032153
1233,0.013911412903636788,0.0085047211229492
1243,0.013856642935264674,0.008469315648763853
1253,0.013802519720881146,0.00843434371785623
1263,0.013749030592783984,0.008399796593294262
1273,0.01369616322853029,0.008365665782050336
1283,0.013643905638917264,0.008331943026337107
1293,0.013592246156470866,0.008298620295305703
1303,0.013541173424418296,0.008265689777104512
1313,0.013490676386117118,0.008233143871273718
1323,0.013440744274923866,0.008200975181456016
1333,0.01339136660447543,0.008169176508419085
1343,0.013342533159367675,0.008137740843356944
1353,0.013294233986208825,0.008106661361479084
1363,0.013246459385033105,0.008075931415850057
1373,0.013199199901055114,0.008045544531488424
1383,0.013152446316750444,0.008015494399693956
1393,0.013106189644246313,0.00798577487260932
1403,0.013060421118010035,0.007956379957992255
1413,0.01301513218781819,0.007927303814196485
1423,0.012970314511998038,0.007898540745347127
1433,0.012925959950924715,0.007870085196707954
1443,0.012882060560765574,0.007841931750216524
1453,0.012838608587460387,0.007814075120204933
1463,0.012795596460925596,0.007786510149270676
1473,0.012753016789473604,0.007759231804309152
1483,0.012710862354438024,0.007732235172696278
1493,0.012669126104995987,0.007705515458611423
1503,0.012627801153177742,0.007679067979493581
1513,0.012586880769057951,0.007652888162632543
1523,0.012546358376118338,0.0076269715418835204
1533,0.012506227546775495,0.007601313754499017
1543,0.012466481998069212,0.00757591053807527
1553,0.012427115587499649,0.007550757727610602
1563,0.01238812230901215,0.00752585125266414
1573,0.01234949628912102,0.007501187134620224
1583,0.012311231783166676,0.007476761484044303
1593,0.012273323171702155,0.007452570498134747
1603,0.012235764957001793,0.007428610458258156
1613,0.012198551759688925,0.007404877727576142
1623,0.012161678315477542,0.007381368748747619
1633,0.01212513947202104,0.007358080041712789
1643,0.012088930185869096,0.0073350082015517515
1653,0.012053045519521965,0.007312149896413267
1663,0.012017480638583211,0.007289501865512804
1673,0.011982230809005956,0.007267060917202528
1683,0.011947291394427184,0.007244823927095467
1693,0.011912657853588804,0.007222787836261624
1703,0.011878325737841922,0.007200949649472932
1713,0.011844290688730275,0.0071793064335148316
1723,0.011810548435649826,0.007157855315544026
