index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,0.18058521704717478,-0.09979380343510182,6.2831853162064135,0.9950247294331469,-0.09962824808503244,1.0,9.026827040722601e-09,0.983738753162891,0.1796053048368017,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,7.0244241106626175,3.5626217324209777,-0.5456144471993536,-0.9126688392539024,-0.4086998774833856,0.8548085888321043,-0.5189434231771962,0.7376326820903142,0.6752022114242884,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,4.045278618963223,5.58426716954503,0.09979380229291311,0.7655386944238931,-0.6433898564165907,0.9950247295469412,0.09962824694852643,-0.6187184362460718,-0.7856128159909407,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,1.5526684313924999,2.744021592566033,3.572117544271684,-0.922004149451559,0.3871799948268343,-0.9087468128705075,-0.41734785263338153,0.018126902552091467,0.9998356942037362,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,3.9431226502439336,3.2686687722181677e-09,3.8405107955536715,1.0,3.2686687722181677e-09,-0.7655386916384512,-0.6433898597308542,-0.6956083418998278,-0.7184212097922585,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,-0.5900959295765301,3.9043972171924732,5.612012266798109,-0.7229010386388603,-0.6909515817587054,0.7830926851302357,-0.6219050140459697,0.8308873037995604,-0.5564407321401776,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,3.4681666460438647,3.4042908603943753,2.8420093781978017e-10,-0.9656928046697559,-0.2596871329293398,1.0,2.8420093781978017e-10,-0.947146963123414,-0.3207999847975281,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,4.710606651265132,4.0463786113567775,1.5693958083663386,-0.6178538939790347,-0.7862929261381815,0.0014005179707164532,0.999999019274226,-0.0017823281759048251,-0.9999984116518753,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,2.2188433674042867,5.130363947416025,2.878894447063659,0.405910583052564,-0.9139127959307318,-0.9656928047420652,0.2596871326604449,-0.6036305332888929,0.7972641841205252,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,0.01357710048503303,4.550838139801678,6.17335575274416,-0.16084904654765536,-0.9869790191410911,0.993974794743018,-0.10960888383509472,0.9999078325870497,0.01357668336039428,0.7853981633974483,0.2575328339591237,0.1571025538924139
10,1,"(4, 2, 1)",5,0,0.8658720123471173,-6.770310238662187e-11,1.1528213598164914,1.0,-6.770310238662187e-11,0.405910583004191,0.9139127959522165,0.6479761846887224,0.7616605963788902,0.7853981633974483,0.2575328339591237,0.1571025538924139
11,1,"(4, 2, 1)",5,1,1.5821661373919158,4.704206535680479,4.088566380217661,-0.00818235339879647,-0.9999665239861069,-0.5841420397681605,-0.811651450670479,-0.011369565631119571,0.9999353643997995,0.7853981633974483,0.2575328339591237,0.1571025538924139
12,2,"(3, 2, 1, 1)",1,0,6.568902156664928,1.7763739220510697,7.4234486288851805e-09,-0.20413262689683884,0.9789432417848319,1.0,7.4234486288851805e-09,0.9594598585282176,0.28184531195855045,0.7853981633974482,0.2575328339591234,-0.13568254977480887
13,2,"(3, 2, 1, 1)",1,1,1.4782605495154157,2.2587582257786076,1.4949937588262714,-0.6349639839818582,0.7725417393551539,0.07572999485922913,0.9971283607834155,0.09240377183638185,0.9957216192040875,0.7853981633974482,0.2575328339591234,-0.13568254977480887
14,2,"(3, 2, 1, 1)",3,0,2.248343398687243,2.872719468334511,1.365218716001067,-0.9640708413626123,0.26564527632612767,0.20413264210732276,0.9789432386130892,-0.6268838042759016,0.7791127620162392,0.7853981633974482,0.2575328339591234,-0.13568254977480887
15,2,"(3, 2, 1, 1)",3,1,4.490326224648453,4.828935529605478,2.8510555332758982,0.11628288448447376,-0.993216134975651,-0.9580901465453465,0.2864668760829363,-0.22024219543576073,-0.9754452190408419,0.7853981633974482,0.2575328339591234,-0.13568254977480887
16,2,"(3, 2, 1, 1)",5,0,3.9370565875312318,6.28318530096233,3.4104658254060625,1.0,-6.217256288257594e-09,-0.9640708449326225,-0.2656452633699673,-0.6999535051342429,-0.7141884139709124,0.7853981633974482,0.2575328339591234,-0.13568254977480887
17,2,"(3, 2, 1, 1)",5,1,3.4865672966487042,0.580057896438623,6.83575500538998,0.8364309198790738,0.5480723640818304,0.8511785603440593,0.5248762315161687,-0.9410840279371898,-0.3381728143442559,0.7853981633974482,0.2575328339591234,-0.13568254977480887
