index,entry,diagram,layer,qubit,theta,phi,lambda,cos_phi,sin_phi,cos_lambda,sin_lambda,cos_theta,sin_theta,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",1,0,4.712388980385125,1.2356739062011912,4.712388980391315,0.3288847826808219,0.9443700544389305,6.624739135523362e-12,-1.0,4.3502372863318927e-13,-1.0,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,0,"(3, 2, 1)",1,1,3.141592653593539,7.011713722240407,2.299324741854021,0.7461549504413143,0.6657723258982157,-0.6657723258969497,0.746154950442444,-1.0,-3.745770020405363e-12,0.7853981633974483,0.2526802551420788,0.08885530042255585
2,0,"(3, 2, 1)",3,0,1.3930857259474185,3.641618670040269,3.6573002883675625,-0.8775700886425939,-0.4794483700252091,-0.8699439696404956,-0.49315057506418514,0.17677669529896595,0.9842509842510581,0.7853981633974483,0.2526802551420788,0.08885530042255585
3,0,"(3, 2, 1)",3,1,2.2618160299370063,2.5029546691522775,-0.19747406645079887,-0.8029084031394403,0.5961024208708383,0.9805652762579813,-0.1961931165895195,-0.6373232931366091,0.7705965351761632,0.7853981633974483,0.2526802551420788,0.08885530042255585
4,0,"(3, 2, 1)",5,0,4.712388980388423,1.570796326788769,0.26924031611530785,6.127604149851121e-12,1.0,0.9639732498148674,0.2659991985727838,3.732830200979754e-12,-1.0,0.7853981633974483,0.2526802551420788,0.08885530042255585
5,0,"(3, 2, 1)",5,1,2.9679374761267354,3.1415926539957395,7.853981634381402,-1.0,-4.059462651513608e-10,-4.0691863682391257e-10,1.0,-0.9849597929193549,0.17278369810911448,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,1,"(4, 2, 1)",1,0,2.815018661132762,6.146080548859331,3.1415926521688586,0.9906158564873877,-0.136675619170938,-1.0,1.4209346036535312e-09,-0.9471469631224645,0.32079998480033134,0.7853981633974483,0.2575328339591237,0.1571025538924139
7,1,"(4, 2, 1)",1,1,8.758055375797618,3.184184434492246,-3.0874147526023386,-0.9990931072086944,-0.042578904730821314,-0.9985327364731311,-0.05415140064190931,-0.7858526813569777,0.618413747586556,0.7853981633974483,0.2575328339591237,0.1571025538924139
8,1,"(4, 2, 1)",3,0,7.205934593367518,2.875734128916519,9.561882717724435,-0.9648672896723426,0.26273772724971906,-0.9906158566739773,-0.13667561781854912,0.6036305332869597,0.797264184121989,0.7853981633974483,0.2575328339591237,0.1571025538924139
9,1,"(4, 2, 1)",3,1,4.441614371034846,3.10351471314474,9.403086687566244,-0.999275122817152,0.0380687393902897,-0.9997647535574735,0.021689572244840048,-0.26747790253955966,-0.963563994581075,0.7853981633974483,0.2575328339591237,0.1571025538924139
