diagram,size,weyl_a,weyl_b,weyl_c
"(3, 2, 1)",6,0.7853981633974483,0.2526802551420788,0.08885530042255585
"(4, 2, 1)",7,0.7853981633974483,0.2575328339591234,0.1571025538924138
"(3, 2, 1, 1)",7,0.7853981633974483,0.2575328339591234,0.13568254977480887
"(5, 2, 1)",8,0.7853981633974483,0.2541626643633199,0.1884872711347354
"(4, 3, 1)",8,0.7853981633974482,0.20470663066097838,-0.11658676461472339
"(4, 2, 1, 1)",8,0.7853981633974482,0.26115741090302436,-0.20185734333026417
"(3, 2, 2, 1)",8,0.7853981633974483,0.20470663066097877,-0.031037668390437645
"(3, 2, 1, 1, 1)",8,0.7853981633974483,0.2541626643633199,0.16015194651459197
"(6, 2, 1)",9,0.7853981633974483,0.24924021856871637,0.20640710127763295
"(5, 3, 1)",9,0.7853981633974483,0.21118485558312639,0.19181541940730273
"(5, 2, 1, 1)",9,0.7853981633974483,0.2571262945619859,0.23250136594264692
"(4, 3, 2)",9,0.7853981633974483,0.2863983779027748,-0.019322655243911413
"(4, 3, 1, 1)",9,0.7853981633974483,0.21522832439606,0.17493235744170388
"(4, 2, 2, 1)",9,0.7853981633974483,0.21522832439606,0.09568346513065773
"(4, 2, 1, 1, 1)",9,0.7853981633974482,0.2571262945619859,-0.22415097648339355
"(3, 3, 2, 1)",9,0.7853981633974483,0.2863983779027748,-0.06977816541088266
"(3, 2, 2, 1, 1)",9,0.7853981633974483,0.2111848555831265,-0.07045133269896464
"(3, 2, 1, 1, 1, 1)",9,0.7853981633974483,0.24924021856871637,0.17613685461321094
"(7, 2, 1)",10,0.7853981633974482,0.24423098762496132,-0.21789537307449258
"(6, 3, 1)",10,0.7853981633974483,0.22637939053570832,0.20888246192213256
"(6, 2, 1, 1)",10,0.7853981633974483,0.2518330521972567,0.25019471529148074
"(5, 4, 1)",10,0.7853981633974483,0.17634042411731699,0.12662608634413086
"(5, 3, 2)",10,0.7853981633974483,0.29145398264983324,0.09231702118377161
"(5, 3, 1, 1)",10,0.7853981633974482,0.24861800548723512,-0.22087717808262308
"(5, 2, 2, 1)",10,0.7853981633974482,0.21752716562528018,-0.12755245112898184
"(5, 2, 1, 1, 1)",10,0.7853981633974482,0.25383127133491534,-0.2526802551420788
"(4, 3, 1, 1, 1)",10,0.7853981633974483,0.21752716562528018,0.20521055948937494
"(4, 2, 2, 1, 1)",10,0.7853981633974482,0.22087717808262308,0.13269477452273293
