diagram,gate_index,qubits,theta,phi,lambda
"[5, 3, 1]",4,[1],1.148426615628845,-2.1522432724907503e-09,3.1415926588401533
"[5, 3, 1]",6,[0],2.853364585249796,3.1415926333707285,3.141592653589793
"[5, 3, 1]",7,[1],0.8879900267093822,-6.328045865089393e-09,3.1415926636188267
"[5, 2, 1, 1]",0,[0],2.3641075879994182,3.141592653085748,-3.141592653836683
"[5, 2, 1, 1]",1,[1],0.5062775070664467,1.1990335391232065e-09,-3.14159265379938
"[5, 2, 1, 1]",3,[0],2.035799058680258,3.14159263607794,-3.141592653589793
"[5, 2, 1, 1]",4,[1],1.0565437376710567,9.022871338970617e-11,3.141592653406358
"[5, 2, 1, 1]",6,[0],0.09082295318396862,1.7398734453166753e-08,3.141592653589793
"[5, 2, 1, 1]",7,[1],2.453502988840785,3.1415926537611725,-3.1415926533679315
"[4, 3, 2]",0,[0],0.7002851312565428,3.1415926482123187,5.761630061940082e-09
"[4, 3, 2]",1,[1],0.13966128965294514,-3.1415926442822455,3.1415926448675693
"[4, 3, 2]",3,[0],1.609441637310152,6.299190502545571e-09,3.141592653589793
"[4, 3, 2]",4,[1],0.9979995710130904,-2.7058151275127784e-09,3.1415926585822143
"[4, 3, 2]",6,[0],2.9689471675414363,3.1415926600477206,0.0
"[4, 3, 2]",7,[1],2.2937377494395363,-3.14159264842184,7.811376212529808e-09
"[4, 3, 1, 1]",0,[0],2.51183692491663,-2.3272216154168746e-08,3.1415926293518113
"[4, 3, 1, 1]",1,[1],2.9377165552712667,-3.1415926239275818,1.5814759057874994e-08
"[4, 3, 1, 1]",3,[0],1.2209316120934106,-3.141592450371606,0.0
"[4, 3, 1, 1]",4,[1],2.001252975480297,-6.856523668118178e-09,-1.643123983787669e-08
"[4, 3, 1, 1]",6,[0],3.0688478755527857,2.0233792330515143e-07,3.141592653589793
"[4, 3, 1, 1]",7,[1],0.8336655612995608,-1.8352389912754054e-08,2.7303347290154886e-08
"[4, 2, 2, 1]",0,[0],0.9410405980931398,-3.1415926544538735,-2.841933355313131e-10
"[4, 2, 2, 1]",1,[1],0.3566577755128577,2.7613615838362193e-09,-3.1415926542232118
"[4, 2, 2, 1]",3,[0],1.379429396375503,-4.840895950763979e-08,3.141592653589793
"[4, 2, 2, 1]",4,[1],2.001252975389446,3.1415926535742846,3.1415926535526273
"[4, 2, 2, 1]",6,[0],0.07274477799027702,4.866308378481676e-08,3.141592653589793
"[4, 2, 2, 1]",7,[1],2.4752109742167283,-3.1415926543860224,3.1415926525768607
"[4, 2, 1, 1, 1]",0,[0],2.3482813923858075,-3.1415926565651286,3.1415926479418044
"[4, 2, 1, 1, 1]",1,[1],2.620768209796688,-6.283185300025921,1.627372014922912e-09
"[4, 2, 1, 1, 1]",3,[0],1.1224943738279842,3.141592714172559,0.0
"[4, 2, 1, 1, 1]",4,[1],2.0850489159187338,3.141592650063201,3.141592646420237
"[4, 2, 1, 1, 1]",6,[0],3.050769700406665,-6.283185245927129,0.0
"[4, 2, 1, 1, 1]",7,[1],0.6390050454459352,-9.759637320527759e-09,-3.1415926414311235
